,project_id,project_description,public_interest
42,203,"Jedná se o cestu, kudy chodí obyvatelé domů na zastávku tramvaje na ul. Fügnerova. Okolí této cesty je značně zarostlé, špinavé a celkově budící neudržovaný dojem. Zejména za tmy je o strach touto cestou chodit. Lampy veř. osvětlení nefungují. Jedná se o úsek cca 150 m dlouhý.","Cesta neslouží jen obyvatelům ul. Třída Gen. Píky, ale zároveň tuto cestu využívají i lidé navštěvující místní fitness, maminky s dětmi chodící do plaveckého klubu a studenti bydlící na kolejích a studující při Mendelu. Proto by toto okolí mělo působit udržovaným a příjemným dojmen, aby se zde lidé nemuseli chodit bát a to zejména ve večerních a nočních hodinách."
43,204,"V Brně se občas najde krásná křižovatka, která je tak nepřehledná až to pomalu mrazí na zádech. Jedním z míst, které jsou silně nepřehledné je nájezd z ulice Meluzínova na hlavní čtyřproudou silnici Svatoplukovu. Nejen, že je téměř nemožné na ni vjet v případě hustšího provozu, ale ani když nejezdí tolik aut to není procházka růžovým sadem. Výjimkou jsou večerní hodiny, kdy lze po tmě krásně vidět rozsvícené světla na vozovce. Rád bych učinil konec neustálému prudkému brzdění a troubení.","Snížení stresu na vozovce. Zpřehlednění úseku. Projekt je natolik jednoduchý, že by měl být vykonán ihned bez nutnosti schvalování. Hlavní přínos bude pro automobilisty."
44,206,"Navrhuji umístění jednoho přechodu pro chodce a dva zpomalovací prahy na ulici Křídlovická mezi kruhovým objezdem a křižovatkou s ulicí Nádvorní, kde je vstup do ZŠ Křídlovická (1. stupeň).
Ulice je rovná a svádí řidiče k rychlé jízdě. Děti čekající na možnost přeběhnutí silnice nejsou za zaparkovanými auty vidět a mají špatný výhled přes auta. I dospělý člověk má ztížený výhled přes množství aut. Navrhuji umístění přechodu na úrovni parkoviště, které je přístupné z ulice Václavská.","Zvýšení bezpečnosti pro chodce a hlavně pro děti, které musí při cestě do školy ulici Křídlovická přecházet."
45,209,"Zřízení menšího sportovního areálu v parku Lužánky, Tento areál by obsahoval venkovní hřiště na basketball a venkovní hřište pro workout.. Vstup do areálu by byl zdarma pro všechny. Doplnil by tak ostatní sportoviště v tomto parku. Umístění například u volejbalových a tenisových kurtů nebo kdekoliv v parku.",Sportovní vyžití všech obyvatel města bez ohledu na věk. Prevence kriminality u mladistvých. Využití volného času. Pozitivní vliv sportu na zdraví.
46,210,"Jde o zlepšení přístupové cesty, která vede z ulice Rybkové kolem baseballového hřiště k bazénu na Kraví hoře. Cesta je rozbahněná, měla by se vydláždit a osvětlit. Veřejné osvětlení končí u vjezdu do areálu VUT a pak je tma až k bazénu. V zimě je to velmi nepříjemné. Chodí tudy množství lidí a je to jediná přístupová cesta k bazénu z Konečného náměstí.",Zlepší se stav a bezpečnost přístupové cesty k bazénu na Kraví hoře ze směru od Konečného náměstí.  Využije to i množství dalších lidí jako pejskaři a uživatelé parku a zahrádek.
47,217,"Vadí mi nedostatek péče o cestující MHD linky č.9 a především o seniory, kteří jsou častými návštěvníky bohoslužeb v kostele sv. Tomáška. Při odchodu z kostela jsou někdy nuceni za každého počasí čekat i déle než určených 10 minut intervalu ve stoje, protože u zastávky není ani v jednom směru k dispozici ani lavička, natož přístřešek.

Navrhuji umístit dvě lavičky před kostelem sv. Tomáška u zastávky tramvaje č. 9 ve směru na Lesnou. Dvojice laviček bude situována v ose vstupního portálu kostela proti sobě ve vzájemné vzdálenosti cca 1 m a asi 4 m od kolejiště při směrování laviček ve směru osy kostelní lodi .

Dále navrhuji zřízení typového proskleného přístřešku (bez reklamních panelů) na protější straně stejné zastávky před Nejvyšším správním soudem. V přístřešku bude také umístěna lavička, která je běžně součástí přístřešku. Zastávka bude provedena v minimálním rozměru a umístěna bude mezi vzrostlý strom a kovovou sochu s fontánou.
Typová lavička a typový přístřešek i jejich umístění jsou zachyceny na uvedených fotografiích:","Zlepšení komfortu cestování pro cestující MHD, zejména pro seniory."
48,220,"Pokud se nyní chcete dostat ze zastávky Fügnerova na ul. Tř. Gen. Píky, můžete použít buď schody nebo cestu, která je sice bezbariérová, ale vedoucí složitě kolem garáží. Navrhuji vybudovat novou cestu vedoucí přímo od zastávky ( bez zbytečného obcházení), která by se následně napojila na cestu stávající. K chodníku bych instalovala také zábradlí. U stávající cesty není a v zimních měsících je jeden úsek špatně schůdný nebo neschůdný úplně v případě námrazy.","V současné době je stav takový, že ze zastávky nejsou schody vidět a delší cesta není pro každého jasná. Touto cestou by byla situace přehlednější. Navíc zkrácení cesty určitě ocení místní handicapovaní lidé, starší spoluobčané a maminky s kočárky navštěvující místní plavecký klub. 
V současné době se na ul Tř. Gen. Píky dokončuje nový bytový dům a v dohledné době se také počítá s P+R parkovištěm, takže tuto cestu bude využívat stále více lidí."
49,224,"Posedět v parku s knihou v ruce, utéci od všedních starostí. Zapomněli jste knihu doma? To vůbec nevadí. K tomuto účelu slouží, Kniho budka. Jednoduše si z ní knihu půjčíte a dáte se do čtení. A co když knihu nedočtete? Vezměte si ji domů nebo ji jiný den přijďte dočíst opět do parku. 
Jak se knihy do Kniho budky dostanou? Od čtenářů, kteří mají doma přebytečné knihy. Nemusíte mít žádnou registraci. Knihy můžete vracet i do jiných Kniho budek nebo je můžete vyměnit za své, které již neplánujete číst.
Jaké knihy do Kniho budky patří? Odborné, dětské, slovníky, naučné, encyklopedie, a další, a další.
Kniho budku najdete snadno. Je to plechová skříňka s vitrínkami.","Získávejme informace z knih, odpočiňme si od počítačů."
50,226,"Následujícím jednoduchým a prakticky beznákladovým řešením se odstraní každodenní zmatek a stres nejen návštěvníků, ale i domácích na zastávce Obřany sídliště  (když se jeden spoj zpozdí, tak čekáte uprostřed parku, protože nevíte, ze které strany to jede dřív). \""Nejvtipnější\"" je situace na sněhu a náledí nebo v dešti pro starší občany.

1) Autobus směr Bílovice zastaví na zastávce, odkud odjíždí i v současnosti, tedy beze změny.

2) Autobus směr Brno vyjíždějící z Bílovic opět beze změny (zastávka na druhé straně parku).

3) Autobus směr Brno bude parkovat tam, kde dosud, ale jeho nástupní stanice bude na druhé zastávce, tj. tam, kde nyní zastavuje pouze autobus směr Brno vyjíždějící z Bílovic.
Takto bude každá linka zastavovat pouze jednou, obě zastávky budou i nadále využívány a přinejmenším místní lidé budou vždy vědět, na které zastávce mají stát.

Za druhé považuji za nutné odstranit/přemístit reklamu na zastávce směr Bílovice:

1) Líbí se mi, že je možnost skrýt se před deštěm, ovšem reklama zde umístěná brání ve výhledu, takže cestující nevidí, zda přijíždí autobus a zastávka je tak pro odjíždějící prakticky nepoužitelná.","Projekt prospěje všem cestujícím na zastávce Brno Obřany: 
- Méně zbytečně ujetých spojů.
- Ochrana zdraví díky menší nutnosti dobíhat, zvláště v zimním počasí.
- Snížení stresu a hněvu."
51,230,"Stánek s možností zdravé alternativy rychlého občerstvení. Navrhujeme lokaci Mendlovo náměstí, které slouží jako frekventovaná přestupní křižovatka. Několik stánků s občerstvením zde již je, ale rychlá prodejní alternativa, která by nabízela produkty splňující požadavek zdravého životního stylu zde chybí. Jistě by jej řada lidí, kteří spěchají do práce uvítala.","Možnost zdravého rychlého občerstvení je v této lokalitě nedostupná, přitom se jedná o velmi frekventované místo."
52,233,"Revitalizace spojovací cesty mezi ulicemi Sochorova – Stránského. Spočívá v novém povrchu chodníku a doplnění cesty o osvětlení, zeleň a lavičky.
Místo je uvedené i v generelu veřejných prostor (P 05  Stránského / Sochorova -  oficiální pěší spojnice -  zatraktivnit prostor nabídkou  vybavení k sezení , osvětlení a estetickým zážitkem).","Průchod zatím slouží pouze ke komunikačním účelům. Revitalizací by vznikla nová odpočinková zóna pro obyvatele okolních ulic. V posledních letech v okolí vyrostlo mnoho nových bytových domů, ale chybí zeleň. Zvýšila by se bezpečnost za tmy."
53,239,"Na pozemku vedle MŠ V Újezdech bychom ve spolupráci s obcí chtěli vybudovat komunitní zahradu s vyvýšenými záhony pro lidi z bytových domů zejména z tzv. Kouzelných Medlánek, kteří k zahradničení jinak nemají přístup. Místo by bylo dalším možným prostorem k setkávání medláneckých sousedů, k budování vztahů mezi nimi a prohlubování sounáležitosti k místu, kde žijí, při smysluplné činnosti. O edukativní funkci pro nejmenší není jistě v tomto případě možné pochybovat.",Projekt komunitní zahrady slouží k prohlubování komunitního a společenského života v Medlánkách. Jeho předpokládaní uživatelé jsou obyvatelé Medlánek od dětí po seniory.
54,245,golfove hriste na kratkou hru je miniaturni verze opravdoveho hriste. greeny mohou byt umele pro lepsi udrzovani,alternativa k workoutovemu hristi pro deti
55,251,Vybudování dřevěné rozhledny v oboře Holedná.,"Zatraktivnění města Brna pro obyvatelé Brna i turisty. 
- Volnočasové aktivity, turistika, sport."
56,263,"Cílem projektu je doplnit v amfiteátru osvětlení a schody do hlediště.

Přírodní amfiteátr se nachází v Čertově rokli, rozsáhlé roklině táhnoucí se od severu k jihu středem sídliště Lesná. Amfiteátr byl vybudován spolu s okolní zástavbou před více než padesáti lety. Z počátku se zde odehrávaly koncerty a divadelní vystoupení, potom amfiteátr desítky let chátral a zarůstal náletovými dřevinami. V roce 2012 proběhla jeho sanace. 

V posledních letech se zde uskutečnily různé kulturní akce, které přilákaly stovky diváků z celého Brna. Kapacita amfiteátru je až 500 diváků. Čertova rokle je snadno dostupná hromadnou dopravou z konečné zastávky tram 9, 11. 

Podle našich zkušeností v amfiteátru chybí schody v hledišti a osvětlení. 

Navrhujeme vybudovat středem hlediště schody, které usnadní pohyb diváků (např. doplněním mezistupňů k cca 40-60 cm vysokým stávajícím stupňům). Od horního vstupu již bylo v roce 2012 schodiště postaveno. Dále navrhujeme doplnit osvětlení prostoru vstupu, jeviště a hlediště, které jsou důležité pro bezpečný pohyb diváků za tmy (např. mobilními reflektory). 

Obě úpravy navrhujeme provést s ohledem na zachování přírodního rázu celého prostoru, který, okouzluje všechny diváky. 

Úpravy schodiště a osvětlení v amfiteátru přinesou větší bezpečnost při akcích pro veřejnost – např. filmové projekce, koncerty, divadlo, či pozorování noční oblohy.","Amfiteátr je místem pro veřejné projekce, konat se zde mohou koncerty větších či menších rozměrů (hudební kapely i dětská vystoupení místních škol a školek), divadelní představení či letní kino. 

Veřejnost bude mít prospěch z projektu tím, že se zlepší dostupnost místa (díky úpravě schodiště budou moci do amfiteátru snadněji vcházet i osoby s horší mobilitou) a také se zlepší celková bezpečnost místa díky doplnění osvětlení."
57,266,"Jedná se o bruslařský okruh na Brněnské přehradě. Tak jak tomu bylo letošní sezónu.
Odhrnutá a odkartáčovaná dráha v délce 1 - 2km.
Lepší variantou může být rolbou upravený hladký povrch.","V zimním období je možnost sportování ve městě velmi omezena.
A bruslení na Pryglu je sport, zábava, skutek pro zdraví, společenská záležitost . .
    . . pro sportovce, rodiny s dětmi i se psy, . .   skoro pro všechny   . .  jen ale VŠECHNO záleží
na tom, aby MRZLO  ! !"
58,273,"Obnovení trolejbusové linky 29, která v letech 2004 (do roku 2006 jako výluková linka x25)-2013 spojovala přestupní uzly Česká a Osová přes městské části Žabovřesky, Jundrov, Kohoutovice, Nový Lískovec, Bohunice a Starý Lískovec.","Důchodci, kteří cestují ze Žabovřesk do Bohunické nemocnice, musí po zrušení linky 29 až 2× přesedat. Takto budou moci cestovat přímo. Obnoví se přímé spojení Jundrova s centrem města. Vzniknou další přímé trasy pro cestování bez nutnosti přestupů, výrazně se třeba zlepší spojení z Kohoutovic."
59,274,"Vybudovat bezpečný chodník podél porostu parku v Lužánkách od autobusové zastávky Zimní stadion, podél silnice na ulici Drobného k přechodu, který míří na ulici Erbenova. V současné době je zde pouze něco jako nebezpečný širší obrubník, na nějž se nevejde ani celý jeden chodec. Navrhuji to pro bezpečnost chodců z této oblasti.","Zvýšení bezpečnosti chodců, potřebujících dostat se od zastávky Zimní stadion na druhou stranu ulice Drobného."
60,277,"Na základě mnohaletého vlastního pozorování města Brna jsem nabyl dojmu, že tento fenomén nemizí, naopak mám subjektivně pocit, že graffiti přibývá. Většina běžné populace se pak nemůže radovat z nových oprav fasád škol, mostů, tramvajových tratí a další. Vždy velmi záhy (bývá otázka týdnů nebo pár měsíců) je místo opět často ošklivě posprejované graffiti.
| * * * |
Možnost tvořit graffiti na legálních k tomu určených plochách není dostatečným řešením problému a domnívám se, že pomáhá jen velmi málo.
| * * * |
Jsem toho názoru, že jádro problému spočívá v osobnosti každého sprejera, který je výchovou výrazně více pokřiven než ostatní. Tito mladí lidé nemají dostatek sebehodnoty/sebelásky a tudíž hledají vnější uznání své osoby, svých kvalit, které nachází v komunitě sprejerů, a to na základě činů, tedy graffiti.
| * * * |
Toto částečně souvisí s neexistencí rituálu přechodu, neexistenci reálného dobrodružství a nebezpečenství (porovnejte si s indiány nebo lovci, když riskovali život při lovu, případně byli podstoupeni přechodovému rituálu, který byl někdy i životu nebezpečný). Drtivá většina sprejerů jsou muži.
| * * * |
Tuto tezi o nedostatku sebehodnoty/sebelásky bych rád nechal ověřit ve školách s respondenty, kteří by pod příslibem anonymity a případně i odměny byli ochotni zodpovědět komplexní dotazník.
| * * * |
Na základě získaných dat odborným týmem by byla následně sestavena interaktivní prezentace s diskuzí na závěr, s kterou by se v rámci tohoto pilotního projektu objížděly školy a výsledky by byly prezentovány nejkritičtěji ohroženým žákům graffiti, odhaduji druhý stupeň a střední školy se zaměřením. #","Výsledky se projeví poklesem výskytu graffiti a vše s tím spojené.
// zvýší se počet bývalých sprejerů, kteří opustí komunitu
// bude pomoženo mnoha lidem páchajícím trestnou činnost a kteří jsou možná na scestí
// bude ušetřeno mnoho veřejných i soukromých prostředků na opravu poškození graffiti
// obyvatelstvo města bude spokojenější v čistším prostředí
// obyvatelé a představitelé města se nebudou muset stydět před cizinci"
61,281,"Vytvoření sítě městských kol a dokovacích stanic na tato kola. Odlehčení hromadné dopravě, propojení některých míst, které nejsou dobře propojeny skrz MHD. Poskytnutí levného způsobu dopravy širšímu okruhu obyvatelů města Brna.","Umožnění cestování na kole všem. Snížení nároků na cestování MHD nebo vozem. Propojení míst, které nejsou propojeny MHD."
62,284,"Ačkoli domy na ulici Fryčajova 149 až 157 zde stojí již řadu let a předpokládám, že se zde nikdy nic nestalo, přesto chci kvůli bezpečnosti dětí navrhnout jedno z následujících opatření, která uvádím od nejnákladnějšího po nejlevnější: 
a) Vybudování chodníku podél hlavní silnice.
b) Vybudování přechodu pro chodce se semaforem.
c) Posun značky obytná zóna, která je nyní umístěna u domu Fantova 20 až dolů na ulici Fryčajova. Je mi jasné, že lidé ve zdejších domech potřebují někde parkovat, takže varianta C počítá i s vyznačením parkovacích míst tak, aby lidé mohli parkovat jako doposud, ale jezdili ještě opatrněji.
Vše viz obrázky.","V současnosti musí lidé z ulice Fantova nebo konce Fryčajovy a) jít po vedlejší silnici mezi parkujícími vozidly, b) po trávě což v případě špatného počasí není nic příjemného, c) riskantně přecházet na chodník v zatáčce přes hlavní ulici. Navrhovaným řešením se zvýší bezpečí chodců, zejména dětí."
63,285,"Cílem projektu je zavést na Veveří časově omezené stání na dobu 10-15 minut, které by ulehčilo život všem, kteří mají firmu a bydlí na ulici Veveří a potřebují svůj podnik zásobovat. Pomohlo by to všem podnikatelům, kteří potřebují na Veveří na 10 minut zastavit, aby naložili a vyložili zboží a stejně tak by to pomohlo nájemníkům na 10 minut zastavit a odnést těžký nákup do patra. Místo dlouhé řady blikajících aut, které čeká každou chvíli odtažení by konečně mohli legálně zastavit, vyložit a naložit zboží, odnést ho do provozovn a nebát se blikajících žlutých majáčků odtahového vozidla, které se na Veveři hemží od rána do večera.",Zlepšení dopravní dostupnosti pro obyvatele Veveří a podnikatele působíci na Veveří
64,288,"Hojně frekventovaná trasa od Anthroposu k Riviéře a nahoru k Novému Lískovci je zamořená smetím. Lesní stezky v okolí jsou na tom ještě hůře. V současnosti je jeden jediný koš u lávky ke koupališti Riviéra a ten věčně přetéká, odpadky z něj odletují po okolí.
Bohužel cyklisté, pejskaři, turisté ani nemají možnost zbavit se smetí, některé by jistě motivovaly dostupnější koše/popelnice, aby neházeli odpad do lesa nebo řeky. Odradit je od toho určitě pomůže i čistější prostředí - ideálně 
sezónní sběr plastů a jiného neřádu z lesa.","Čistější prostředí umožní návštěvníkům lokality nerušeně relaxovat, užít si les bez rušivých elementů a zápachů. 
Nejen pejskaři ocení možnost zbavit se smetí na místě a nenosit např. psí exkrement v kapse několik stovek metrů, anebo     rodinky s dětmi a cyklisté mohou ulevit kapsám. 
V neposlední řadě pomůžeme přírodě a obyvatelům lesa od plastů, které mohou polknout nebo vdechnout."
65,293,"Denně tudy procházejí tisíce lidí, kteří by bezpečnější přecházení přes značně frekventovanou vozovku ocenili. Stačila by běžná zebra a dopravní značka  A11 - Pozor, přechod pro chodce. I když tuším, že příslušné správní řízení nemusí být jednoduché.","Uskutečnění projektu pomůže zvýšit bezpečnost chodců a předcházet střetům či kolizím mezi chodci a motoristy. Týká se všech občanů a návštěvníků Brna, kteří se pohybují na trase Moravské náměstí – Joštova a zpět."
66,296,"Martinské putování a Světélka na řece jsou tradiční putovní akce pořádané v Brně-Komíně pro rodiny s dětmi, seniory a všechny kdo se rád projde a na vytyčené trase plní úkoly, kvízy ap.. 
Jedním z mist-úkolů je pouštění lodiček/světélek na řece Svratce a právě zde bychom potřebovali vybudovat bezpečný přístup-molo k vodě. 
Umístění a foto viz příloha.","Jde o vybudování schodů a mola pro bezpečný, třeba i bezbariérový přístup k vodě s možností pouštění lodiček/světélek na hladinu řeky, případně plavání. 
Využití je celoroční"
67,299,"Obousměrný vyhrazený jízdní pruh pro cyklisty se symbolem cyklisty, nastříkaný na asfaltové silnici z Pálavského náměstí na Vinohradech k zastávce autobusu městské hromadné dopravy Podolská ve Staré Líšni, má nahradit nákladnou výstavbu cyklostezky a měl by zvýšit bezpečnost pro vyznavače pohybu na kolech. Zároveň má umožnit cyklistické napojení na cyklostezku, která vede Mariánským údolím do Moravského krasu.","Vyhrazený jízdní pruh pro cyklisty nahradí finančně nákladné budování nové cyklostezky a zároveň zvýší bezpečnost provozu při pohybu cyklistů na silnici z oblasti Vinohrad přes Líšeň do Mariánského údolí. V současné době neexistuje cyklostezka z centra města Brna na sídliště Vinohrady, do Líšně a do Mariánského údolí. Zde by se mohla napojit na cyklostezku do Moravského krasu."
68,300,"Na ulici Údolní již několik let volají obyvatelé po bezpečném přecházení silnice. Jedná se zde o bezpečnost dětí z minimálně 2 mateřských škol (to je přibližně asi 120 dětí jednotlivců + jejich sourozenci a rodiče, kteří se zde denně pohybují), dále pak jde o bezpečnost osob s omezenou hybností, kteří docházejí na poštu (důchodci a osoby invalidní). Chybí zde přechod pro chodce přímo u mateřské školy Údolní 68 (a to i např. zábradlí naproti vstupu do školky, aby děti nevběhly přímo do silnice) a přejití pro ty, co vystoupí na zastávce Všetičkova a chtějí jít do školky na ulici Všetičkova 19.  Případně pro všechny, kdo využívají služeb DDM Helceletova, kde je také spousta kroužků pro děti. Tímto přechodem by se vyřešil i přístup ze zastávky tramvaje č.4 Všetičkova (směr náměstí Míru) k místní poště. Již bylo písemně dotázáno a žádáno několik institucí, zda je možné tento přechod zrealizovat a to včetně Magistrátu města Brna.  Podpisů pro zřízení tohoto přechodu bylo více než 200, ale výsledek žádný. Kdy odpovědí bylo, že tento přechod bude zřízen v rámci rekonstrukce ulice Údolní a to s předpokladem do konce roku 2016. Je již rok 2017 a přechod nikde. Písemně byla upozorněna i Městská policie a Policie ČR na zvýšený pohyb dětí v tomto místě a nebezpečnou rychlost vozidel jedoucích z kopce (z náměstí Míru) po kolejích směrem po ulici Údolní. Zvláště v zimních měsících a za deštivého počasí je tento úsek značně nebezpečný a auta jedoucí po kolejích vysokou rychlostí (i přes značku snížení rychlosti na 30 km/h) nejsou schopny reagovat na přecházející osoby. Rychlost se v tomto úseku již tedy měří. Bezpečné přecházení tady však rozhodně není. Prosím podpořte tento přechod pro bezpečí obyvatel a zkvalitnění života v Brně.  Věřím, že jeho realizace byla pouze odsunuta,  Avšak odsouvání realizace tohoto přechodu již trvá několik let a přechod pořád nikde. Děkuji všem za podporu tohoto projektu !!!","Tento projekt by sloužil všem obyvatelům, kteří se pohybují v lokalitě Kraví hora. Zejména by se jednalo o děti ze 2 mateřských škol Údolní 68 a Všetičkova 19 (asi 120 dětí), jejich rodiče a sourozenci; dále senioři a invalidé docházející na poštu na ulici Údolní; rodiče, kteří využívají služeb DDM Helceletova (různé kroužky pro děti, včetně jejich hlídání) a také obyvatelé, kteří míří pěšky například na hvězdárnu nebo plavecký bazén nebo do Wilsonova lesa."
69,302,"Workout hřiště jsou hřiště pro dospělé, určená k posilování venku. Jsou ideální pro všechny, kdo nechtějí cvičit v klasických fitness centrech a to třeba jenom z toho důvodu, že na to nemají peníze. Jsou rozšířená po celém světě a několik jich najdeme i přímo v Brně. Myslím, že jedno z nejlepších a nejnavštěvovanějších se nachází v Komárově. http://www.brno-jih.cz/aktuality/hriste-pro-workout Věřím, že podobné hřiště, které nezabírá nijak velké místo, ani nestojí závratnou částku, by velmi ocenili návštěvníci parku Lužánky, z nichž obrovská část chodí do parku právě za sportem. Pokud je to příliš náročné, pak by se mohla v Lužánkách vybudovat alespoň obyčejná hrazda, jaké jsou například na plážích na přehradě. Umístění jsem vybral vedle již stávajících strojů určených pro cvičení venku seniorů, které by workout hřiště vhodně doplňovalo. Pokud by ale byl problém workout hřiště do této polohy umístit, jistě se v parku najde jiné vhodné místo, existuje velké množství variant těchto hřišť s různou náročností na prostor.","Projekt nejvíc ocení dospělí a mládež se zájmem o sport a to ze všech sociálních vrstev. Veřejný prospěch projektu spočívá v tom, že rozšíří možnosti sportovního vyžití v parku Lužánky všem lidem, kteří tam už nyní za sportem míří, ale také přiláká další, kteří mají zájem o posilování, ale nemůžou si dovolit drahé vybavení nebo navštěvovat posilovnu. Také samozřejmě potěší všechny ty, kdo chtějí cvičit na čerstvém vzduchu."
70,311,"V severní části Medlánek navrhuji vybudovat relaxační prostor. K tomu se nabízí dva pozemky, které jsou dnes obyčejnou zemědělskou plochou. Vlastníkem pozemků je Statutární město Brno, což je výhodné z pohledu majetkoprávních vztahů. V okolí plochy se nachází medlánecký rybník, přírodní zahrada a dětské hřiště. Vznikne-li tato „chilloutová“ zóna, rozvine se rekreační potenciál celé oblasti. Kromě odpočinkové funkce bude zajištěna funkce biologická i edukační.
Prostor je navržen jako otevřená zahrada určená pro širší veřejnost. Cílem je upravit místo tak, aby sloužilo k odpočinku, rozjímání, relaxaci, setkávání s přáteli, sousedy i kolemjdoucími. Ústředním motivem budou čtyři chilloutové zóny tvořené dřevěnými podii. Prostor bude rozšířen o výsadby ovocných stromů a keřů. Protože v těsné blízkosti bude dále obděláváno pole, bude v celé délce vytvořena hranice z živého plotu. Takový plot bude tvořený několika druhy keřů a celý rok bude hrát mnoha barvami. Bylinné patro bude upraveno tak, aby bylo možné volně ležet, sedět, odpočívat na trávě. Místo bude nejklidnějším prostorem veřejné, parkové zeleně v okolí – jednak aby nebylo rušeno okolí a přilehlý dům, jednak aby zahrada naplňovala cíle odpočinku a relaxace. V neposlední řadě bude prostor sloužit jako malé arboretum starých ovocných odrůd dřevin (každý ovocný druhu bude vysázen v jiné odrůdě).","Pro místní občany i kolemjdoucí vznikne jedinečný prostor, kde se mohou zastavit a zastavit se před příliš rychlým světem. Vznikne netradiční pojetí otevřené zahrady, výletního odpočivadla, arboreta a místa k setkávání. Člověk, který přijde, by měl sám pochopit, že místo ho samo láká dovnitř.  Ústředním motivem bude člověk, příroda a jejich interakce. Prostor bude součástí zahradní terapie, místem, kde si každý najde poklid a hlavně energii, locus amoenus v Medlánkách. V neposlední řadě se jedná o pilotní projekt, který v Brně dosud není. Kromě Medlánek se může inspirovat kterákoliv městská část."
71,312,"V Brně žije spoustu mladých lidí kteří se věnují extrémním sportům… Všechna velká města mají i dobré parky na podporu těchto sportů! Ale Brnu něco takového prostě chybí.. v zimě se dá jezdit jenom v Soběšicích v sokolovně kde si to kluci platí sami!! Proto bych chtěl navrhnout za všechny mladé i starší bikery,skejťáky , bruslaře a koloběžkáře, aby město investovalo do pořádného nejlépe zastřešeného parku od kvalitní firmy jako je například v Hradci Králové!","Myslím si, že když se mladí lidé věnují svým koníčkům nespadají potom do kolejí takových pouličních ´zevláků´ apod. ! Když budou mít kde jezdit a trávit svůj čas, tak se nebude tolik jezdit po ulicích a ničit například lavičky nebo schody či zídky svým sportem.. myslim, že se každý z nás několikrát do týdne potká s někým kdo jede rychle na skejtu po ulici nebo skupinku lidí s kolama kteří skáčou ze schodů po kterých by se samozřejmě mělo jenom chodit.. když budou mít kde svůj sport vykonávat, tak takových pouličních nebezpečných jízd určitě ubyde.."
72,313,"Takřka každý z nás si stěžuje, že Brno je nudné a šedé. Pojďme jej oživit barevnými sloupy. 
Navrhuji využít barevné kombinace červená / bílá / šedá podle Manuálu jednotného vizuálního stylu města Brna. Pojďme to zkusit v 1. zkušební etapě, například na jedné z hlavních příjezdových ulic do Brna - ulici Heršpické. Není to taková blbost jak se může zdát, např. ve Starém Městě u Uherského Hradiště celá léta používají červenožluté provedení, viz https://mapy.cz/s/1rLlt Alokace prostředků z Participativního rozpočtu by byla směřována jako mimořádná dotace Technickým sítím Brna pro realizaci projektu.",Obarvíme šedé město. Krásnější město pro obyvatele i návštěvníky. Rozvoj použití Manuálu jednotného vizuálního stylu města.
73,314,"Šusťáky a volné triko jsou skvělé pro venčení psa, ale možná ne zas až tolik na nošení do práce. Zainvestujme do řidičů MHD formou mimořádné dotace města dopravnímu podniku a pořiďme jim slušivé uniformy v barvách města Brna.","Projekt přinese řidičům komfortní, ale zároveň důstojné oblečení, zvýší hrdost na jejich povolání a sebeidentifikaci s městem, pro které pracují. Občanům přinese spokojenost s kvalitní reprezentací městského podniku a respekt od návštěvníků města. Zajímavá dobrá uniforma může k DPMB patřit stejně neodmyslitelně jako dnes třeba typické brněnské noční rozjezdy."
74,316,"Mezi budovou Platinium a Tomášovým dvorem na ulici Veveří, což je statek, kde se chovají koně, je úzká neudržovaná cesta pro pěší. Je to spojka mezi Gymnáziem Matyáše Lercha a ulicí Veveří. Parcela patří městu. Navrhuji vykácení náletových dřevin, vyrovnání terénu a vydláždění zámkovou dlažbou, v dolní části vybudování schodiště. Je to zanedbané místo, které využívají chodci z přilehlých bytových domů, studenti gymnázia i lidé, kteří jdou na Kraví horu. Oslovila jsem správu pozemků Platinia, kteří vlastní část dotčeného pozemku, aby se k rekonstrukci připojili. Je zde věcné břemeno - podzemní sítě.","Vybuduje se propojení mezi dvěma ulicemi, které se nyní stejně využívá, ale vzniklo spontánně, není nijak upravené, je to blátivá stezka zarostlá nálety. Je to zanedbané nebezpečné místo, které získá lidský rozměr. Budou ho využívat všichni lidé z okolí."
75,317,"V naší době je stále veliké množství rozvodů, rozvrácených a neúplných rodin. Velké množství dětí vyrůstá jen s jedním rodičem či se zcela jinými lidmi. Na druhé straně máme spoustu osamělých seniorů, o které vlastní děti nejeví příliš zájem. Pro připomínku hodnoty rodiny, důležitosti otce a matky pro děti a zodpovědnosti dětí za rodiče navrhuji zadat soutěž na sochu rodiny, nejlépe trojgenerační, která by důležitost těchto hodnot trvale připomínala. Socha by mohla být např. v blízkosti radnice MČ Brno-střed, kde sídlí hlavní matriční úřad města, ku příkladu by rodinka mohla ´posedávat´ na schodech k bráně do budovy úřadu na ulici Dominikánská.","Socha trojgenerační rodiny má připomínat důležitost hodnot rodinného svazku a dobrých vztahů v rodinách. Umístění sochy nejlépe nechť vzejde z veřejné debaty, navrhuji ulici Dominikánská. Ve foto příklady realizací jinde ve světě."
