,project_name,project_description,public_interest,status
94,okružní vycházkový trasa s alej ,"stavba a koupě nafukovací hala přes #num# tenisový kurt pro široký veřejnost v Bohunice . vybudovat další sportoviště pro rekreační i závodní hráč . dítě zajistit sportovní škola i v zimní období v blízkost domov a rozvíjet jejich potenciál a osobnost a také mezilidský vztah , nový přátelství , sportovní duch , smysl pro fair play , ... forma dětský soutěž jednotlivec i týmový . možnost pro dospělí sportovat i v zimní období a upevňovat se fyzický , ale i psychický zdraví . na provozní náklad se být finančně podílet městský část . ","upravený cesta být sloužit především místní obyvatel z městský část Brno - Tuřana , který jenž trasa využívat . vzhledem k ten , že městský část mít z krajinářský pohled atraktivní okolí , navržený zásah povést k maximální zhodnocení potenciál v území , který být v bezprostřední kontakt s zastavěný část . nově upravený pěšina zlepšit prostupnost krajina a alej v místo otevřený horizont podpořit výrazný hodnota území - vizuální vazba s historický střed Brno a jeho dominanta i pohled na vzdálený horizont . domnívat se , že návrh moct přispět k zvýšení kvalita život v městský část . být využitelný všechen obyvatel . ",1
95,zrychlení tramvajový doprava do Bystrc ,"pohodlně po všechen cesta na kraví hora za každý počasí ? chtít upravit a provázat cesta , aby se dát pohodlně na nový mlatův cesta projít z jeden strana kopec na druhý , od mučednický až po Grohova . hlasovat pro příjemný procházka ! co chtít dosáhnout ? navrhovat upravit povrch stávající příčný cesta na kraví hora , aby on všechen návštěvník moct pohodlně , bez boření se do bláto , využívat za každý počasí . ","zatraktivnění veřejný doprava a možný přilákání další cestující . z centrum Brno se tramvaj cestovat dlouho právě do Bystrc . člověk využívající expresní spoj projížděný zastávka by se sice muset spokojit s #num# -ti minutový interval namísto současný #num# -ti minutový , ale většina cestující by se cestování naopak zkrátit a zpříjemnit . ",0
96,"vybudování veřejný osvětlení v lokalita třída generál píka #num# , #num# , #num# a #num# . ","hlavní náplň projekt on snaha odhodit nacionalismus , neznalost historie a pokus o vytvoření dospělý / dozrálý český národ . mimo jiné stavba tři podstavec pro dva socha - tolerance a obchod + úprava okolí . jít o ten , aby se připravit tři podstavec , upravit se okolí a dva z tři podstavec se využít pro krásný socha - tolerance ( jak výstižný alegorie ) a obchod . využít členitý a krásný prostor Lužánecký park . vytvořit zákoutí / dominanta park . obnovit historicky i umělecky hodnotný sousoší a propojit minulost s současnost - např . v kombinace ( starý ) socha a ( moderní ) podstavec . Brno mít už orloj , jezdecký socha , proč vytvořit další zajímavý atrakce ( Praha- Marie Terezie , Brno-nepomník Josefa II . ) . připravit prostor pro tři podstavec s ten , že prostřední zůstat prázdný - být ten nepomník Josefa II . - prostřední podstavec s prostý nápis Josefa II . krajní být obsazený tolerance ( jestli my ještě nějaký tolerance v současnost zbýt ? ) a obchod . tento socha-nesoch moct vyvolat diskuze . diskuze , který být konstruktivní , objektivní a bez emoce . prázdný prostřední skolit moct kolemjdoucí připomínat , jak být náš ( český ) společnost stále ukřivděný a vyrovnaný s minulost a moct ten být připomínka ten , že on na čas objektivně zrevidovat náš historie , vyrovnat se s on a on daleko ( už se motat , jako klacek pod jez ) . odhodit nacionalismus ( přežitek + - #num# . stolit ) , odhodit neznalost historie a zahájit nový etapa moderní a vyspělý ( dospělý ) národ . překonaný "" já a určitý národ "" by mít nahradit "" my a Evropa "" a ten zahájit nový etapa spolupracující a fungující Evropa . ",zvýšení bezbečnost a komfort obyvatel západní část ulice tř . generál píka ,1
97,hřiště na plážový volejbal v lokalita pod plachta ,"tento projekt mít za cíl vybudování rozsáhlý síť jednosměrný přírodní stezka pro horský kolo tzv singletrail a ten v dlouho zanedbávaný část lesopark akátek pod brněnský sídliště Vinohrady . co být ten Singletraila ? Singletraila být úzký přírodní stezka projektovaný a budovaný dle speciální a léto prověřený metodika , díky který se Singletrail stávat ucelen ́ m produkt pro rekreace v příroda . Singletrail být jednosměrný stezka pro horský kolo , citlivě zasazený do terén , na který zažít opravdový zábava . technický charakter trasa být podmínit prostředí , do který být trasa zasazit . od vyhlazený upravený a jen lehko zvlněný trasa sjízdný i pro dítě či začátečník až po obtížný trasa obsahující přírodní či umělý překážka , nebo terénní prvek vyžadující pokročilý schopnost jezdec . z hledisko bezpečnost se klást důraz na plynulost projetí trasa . proto být tak využívat různý terénní vlna , protisvah nebo různý zatáčka , který mít zpomalovací a zklidňující význam . jaký být přínos pro společnost a proč on navrhovat ? hlavní smysl projekt být posílení volnočasových aktivita v město a blízký okolí a nalákání společnost k zdravý životní styl . Singletraila být pro jejich atraktivita u my v poslední doba hojně rozšiřovat a vyhledávat všechen skupina člověk . často však být v blízký dosah město . vybudování Singletrail v zmíněný lokalita nabízet také řada nový možnost akce pro veřejnost ( exhibice , kurz , soutěž ... ) , ale také díky vysoký návštěvnost park podpoření okolní gastronomický podnik , nebo nabízet nový podnikatelský příležitost v blízký okolí ( cykloservis , půjčovna kolit , … ) . malý význam mít také zkulturnění část lesopark akátek , který on v místo kde tento stezka navrhovat již desetiletí využitý a zanedbávaný a být by škoda tento část park využít , protože skrývat malý potenciál . tento část park být zanést náletový dřevina , a některý místo být využít i jako černý skládka . vzhledem k vysoce zmíněný a také k ten , že příroda v blízkost město být mnoho , vnímat tento projekt jako příležitost něco změnit k lepší a být rád , když ten být vnímat stejně a společně projekt podpořit . ","všechen občan Nového Lískovec a přilehlý čtvrt . nejen aktivně sportující občan , ale i ostatní v rámec prevence vandalismus a ostatní negativní jev plynoucí z dostatečný nabídka trávení volný čas pro mládež . ",0
98,"strom do každý ulice v centr Brno ! čistit a chladit vzduch , klimatizovat zdarma ","často se stát , že kolo se mít vyjímečný věc a až zmizet , tak se uvědomit jejich hodnota . jeden takový poklad být jedinečný tkalcovský technika - horňácký činovať . činovať se na Horňáck a v západní Karpaty dochovat od polovina #num# . století až do počátek #num# . sv . válka jako podomácký výroba tkanina zdobený drobný geometrický vzor v rypsový vazba i velký ornament tkaný technika flotáž . drobný vzor být utkaný v bílo-červeno-černý kombinace . šít se z on krojový oblečení , zástěra , plachta , opléčko , rubáč ale i povlečení nebo polštář . na on krásně vynikat vzor řazený v řada i jednotlivý motiv „ na růžus “ nebo „ na hvězda “ . v současnost její výroba ovládat dokonale poslední dva mistr tkadlec . volat všechen , který chtít objevit něco nový o zem , z jenž pocházet , nebo se přiučit dovednost náš předek . přidat se k já a pomoct vytvořit v Brno prostora , kde se být učit tkát technika z různý oblast Morava . zkrátit se tak cesta k technika , vzor a tradice z různý kout náš země a přivézt on do textilní metropole , který kdysi Brno bývat . pokud se tento technika naučit další budoucí mistr , zaniknout a být žít daleko . sám se přesvědčit , že svůj místo v současný hmotný kultura oddiskutovatelně mít . můj sen být ruční tkalcovna v Brno , prostor který by sloužit k prezentace ohrožený řemeslo forma prohlídka , workshop a otevřený dílna . dobré by být navázat spolupráce s škola , a ten student ukázat tkalcovství v praxe a rozšířit možnost výběr jejich další studium . nový ruční tkalcovna by být místo , kde se historie tkalcovství setkat s současnost . projekt by mít být realizovat v městský část Brno-střed v vhodný prostor co blízce centrum město . momentální cíl on tento prostora najít . ","strom a keř působit jako plošný klimatizace , zabraňovat přehřívání ulice . strom dokázat za jeden horký den do vzduch vypařit i #num# litr voda , tento odpařený voda zvlhčovat vzduch dobře a levně než kropicí vůz , a vzduch zároveň ochlazovat . navíc být strom také důležitý prachový filtr , tlumit poryv vítr , ovlivňovat vsakování dešťový voda a tak upravovat vodní režim v městský prostředí . na fotka níže on vidět stávající holý ulice centrum město , na který se nikdo , ani turista , mít chuť zdržet dlouho , než být nutný , zeleň chybět v celý centrum město , od kapucínský náměstí až po jezuitský , ale projekt počítat s výsadba především v ulice kobližný , Jánští , orlí , v okolí Měnínský brána , Dvořáková , na jakubský náměstí , kozí , josefský , zámečnický , my . svoboda a také pionýrský a kotlářský . ",1
99,městský galerie ,"cíl projekt on doplnit pěší komunikace , vedoucí napříč sídliště , o lavička , umožňující poskytnout odpočinek zejména senior či jiný , málo pohyblivý obyvatel sídliště , v průběh jejich chůze na nákup , ÚMČ či k lékař apod . napříč sídliště Brno-Vinohrada ( směr sever-jiha ) procházet dva hlavní a dva souběžný pěší cesta , vedoucí z okraj sídliště do jeho střed , k obchodní centr , úřad , lékárna a ordinace apod . v rámec průběžně prováděný rekonstrukce jejich povrch být sice v některý místo nově osazovat lavička , ten být ale osadit relativně řídce a poměrně daleko od se , v některý úsek chodník bohužel scházet zcela . v průběh rok #num# být v dva etapa dokonce odstranit čtyři lavička na prostranství mezi OC #num# a park na pálavský náměstí ( údajně na základ petice skupina občan kvůli nadměrný hlučnost některý skupinka osobit , který on využívat k vzájemný setkávání v odpolední a podvečerní hodina ) , takže v tento chodec silně frekventovaný místo podél obchodní centrum sídliště být v současný doba žádný lavička , umožňující alespoň krátkodobý odpočinek obtížně se pohybující osoba ( s chodítko , hůlka apod . ) či maminka s dítě a kočárek . odpočinkový lavička na sídliště sice být , ale být převážně umístit v některý parkový plocha , který být strana intenzivně využívaný pěší komunikace . podstata návrh projekt on v spolupráce s pracovník ÚMČ Brno-Vinohrad vytipovat vhodný místo , na jenž by být možno podél pěší trasa dobudovat malý zpevněný plocha a na on osadit lavička . v město Brno být proklamovat pozornost seniorský generace či osoba s snížený pohyblivost a s tento cíl být i provádět řada opatření - doplnění lavička v v současný doba jenom z vybavený a hezký sídliště město by výrazně přispět k zkvalitnění každodenní život jeho obyvatel , zejména pak ten , který mít vlastní život ztížen zdravotní a jiný omezení . ","chtít vylepšit veřejný prostor , ale jít zdaleka jen o estetický funkce . být přesvědčit , že městský galerie být plnit i funkce výsostně sociální , neboť moct významně přispět k destigmatizace oblast . ",1
100,obnovení rybník na Palackého náměstí ,"venkovní posilovna být moderní trend , který se stávat stále hodně populární . na kraví hora a v široký okolí však podobný zařízení chybět . přitom právě na kraví hora být pro podobný zařízení krásný prostor , který být využít pro žádný jiný aktivita . na kraví hora najít kromě hvězdárna i velký počet sportoviště . být zde koupaliště s plavecký bazén , hřiště na kopaná nebo házená , volejbalový hřiště a taktéž hřiště na basketbal nebo fotbal . tento sportoviště být v letní měsíc hojně využívat a on vidět , že člověk pohyb na čerstvý vzduch bavit . venkovní posilovna být velice rozšířený . sloužit pro jednoduchý cvik , který zvládnout dospělý i dítě . blízký podobný sportoviště najít v park u moravský zemský knihovna . prakticky neustále být v obležení cvičící . Nové podobný sportoviště by tak svůj návštěvník velmi rychle najít . navíc v oblast Masarykův čtvrt se tento sportoviště objevovat vůbec . lokalita pro umístění venkovní posilovna by mít být volit především v horní část park , kde by muset být velký investice do terénní úprava a zároveň by ten vadit volný rekreace na trávník ( například piknik v letní měsíc ) . myslet , že pobyt na čerstvý vzduch spojený s aktivní pohyb moct člověk ( nejen z Masarykův čtvrt ) se udržovat fit a v zdravý kondice . ","uživatel by být jak rezident , tak turista i kulturista : - ) . za hlavní prospěch vnímat potěcha oko , zlepšení zázemí pro relaxace všechen věkový skupina , oživení tradice řečkovický rybník a v poslední řada ochrana životní prostředí ",0
101,nouzový přístřešek pro člověk bez domov ,"architektonický soutěž a projektový dokumentace na potažení vchod do podchod na hlavní nádraží zelený koberec architektonický soutěž a projektový dokumentace na potažení vstup a betonový vyvýšení u vstup do podchod na hlavní nádraží v Brno zelený koberec s tráva a rostlina , aby se zlepšit vzhled hlavní nádraží a nahradit část zeleň , který tam chybět . ","společný nákup nouzový přístřešek dokázat , že my být lhostejný osud náš spoluobčan . ukázat , že Brno , jako chytrý město -pokrokový a moderní , být tady pro všechen , i pro ten slabý . nouzový přístřešek být vhodný pro člověk bez domov , který z různý důvod využívat noclehárna ( kvůli sociální fobie , zdravotní potíž , vlastnění pes , nebo strach být jako žena mezi samý muž , strach o ztráta svůj majetek ) . nouzový přístřešek tento člověk dávat šance přežít zima venku . ",1
102,ušetřit voda a zalít strom ! ,"kamenný vrch být rezervace s velký výskyt koniklec velkokvětý v ČR . tento unikát být každoročně vystavit velký tlak člověk , který vážně ohrožovat koniklec . řešení vysoký návštěvnost být vybudování dřevěný chodníček . v přírodní rezervace kamenný vrch docházet každý rok k žádoucí rozšiřování cestička . frekventovaný trasa být v žalostný stav . čí daleko vysoký návštěvnost způsobit , že se během deset léto cesta rozšířit téměř o dva metr . být ten alarmující a ukazovat ten , že být potřeba co dříve jednat . v pata svah tzv . spodní trasa probíhat eroze . veškerý půda pro rostlina z okraj cesta pomalu mizet a zůstávat jen podložit plný ostrý a bezpečný kámen . bohužel stezka už dnes kriticky zasahovat do stepní plocha s koniklec . pokud ten jít takto daleko , do několik let zmizet světový unikát . pro samotný návštěvník být velký problém neschůdnost cesta po zima a déšť , kdy se trasa měnit v jeden velký bláto plný kaluž . aby moct člověk projít bez nutnost zašpinit se , vyšlapávat se rád nový cestička . bohužel být ten žádoucí jev a koniklec ten brát jejich životní prostor . elegantní řešení být vybudování dřevěný chodník , který zprůchodnit ten hodně frekventovaný část . délka chodník být přibližně #num# m , šířka #num# – #num# cm . být umístit na pilot mírně nad terén . konstrukce být jednoduchý po vzhledový i technický stránka . finální návrh by mít řešit architekt s cit pro příroda . jako možný řešení se nabízet tzv . povalový chodník . jednat se o konstrukce z trám , který být z horní strana pobít fošna nebo hranol . důležitý hledisko být využití přírodní materiál , dostatečný nosnost a průchodnost . chodník být koncipovaný jako bezbariérový , aby se po on moct pohybovat návštěvník na invalidní vozík . na dva konec být umístit rampa . chodník být opatřený na několik místo zábradlíčko , aby se o on moct návštěvník opřít a kochat se . z chodník být vystupovat molo , který se být vznášet v prostor , což být možný obdivovat “ chlupáček ” bez potřeba chodit do stepní plocha . pro fotograf vytvořit „ fotokoutka “ . chodník být opatřit informační panel , lavička a interaktivní prvek a piktogram , navigační systém v Braillův písmo . ","cíl být záchrana velký množství strom , který v současný doba hromadně usychat . zapojení člověk se také zvýšit jejich povědomí o aktuální problém životní prostředí a jejich ochota se podílet na řešení . strom být krásný , chladit , zadržovat a přitahovat voda a také odrážet sluneční záření mnohem dobře , než plocha , který stínit . podobně jako bílý plocha tak snižovat množství teplo pohlcený povrch a být tedy cesta , jak bojovat se změna klima a efekt městský tepelný ostrov . ",1
103,onkologicky léčený dítě v Brno ,"projektový dokumentace . rozšíření silnice v ulice Kamenice od zastávka MHD Kejbal po ZZS . v výsledek vzniknout podobný cyklopruh jako být mezi Bystrc a Žebětín . jednat o projektový dokumentace ( PD ) na rozšíření silnice v ulice Kamenice mezi zastávka MHD Kejbal a ZZS ( odbočka do nemocnice naproti ulice Vinohrady ) po dva strana . pozemek město ještě kousek dovolit . dříve se rozšířit silnice v směr z centrum a celý silnice se posunout o kousek severně . strana u věznice už být složitý - být třeba tam trochu useknout až příliš široký chodník . ten vzniknout prostor pro cyklopruh na dva strana . nakonec ten být vypadat podobně jako ten být mezi Bystrc a Žebětín . výsledek být výhoda pro všechen : autobus se být vzájemně dobře míjet , když být zároveň třeba předjet cyklista . ten stejné platit i pro auto . cyklista jet separátně v vlastní pruh . bezpečnost být zvýšit pro všechen . a ten důležitý : ZZS být mít v takový případ dobrý průjezd . mezi ZZS a kampus už jezdit na kolo v klid mimo silnice . navrhovaný cyklopruh sice být součást silnice , ale i tak být celý úsek pro všechen mnohem mnoho bezpečný . užít se ten ! ","psychosociální podpora rodina s dítě , jenž být diagnostikovat zhoubný onemocnění . ",1
104,poslech pro nedoslýchavý na my . Svoboda ,"místo kde se být setkávat různý generace a společně nebo samostatný se zacvičit . Workout plac on místem kde se člověk zacvičit , protáhnout . moct se tu setkávat s přítel a moct cvičit spolu . ten se podporovat mezigemeracnit propojení . být ten propojení různý hrazda a madla na cvičení upevněný v zem a povrch zem být uzpůsobit na cvičení aniž by se brát podložka ( měkčit plast , tartan atd ... ) jak už být psát místo na cvičení , na setkávání se s přítel a podpořit se zdravý duch v zdravý tělo ! ","projekt být určit sluchově hendikepovaný osoba všechen věkový kategorie . uživatel sluchadlo , který být běžně vybavit zesilovač elektromagnetický indukce . zařízení být možný používat trvale . zesilovač se vyrábět s záruka #num# - #num# let provoz . ten znamenat , že moct být funkční i několik let , jen on nutný přístroj zapnout a po skončení akce vypnout . ",0
105,brněnský přehrada - sprcha ,"hlavní náplň projekt být umístění několik lavička u potok Leskava v starý Lískovec . jednat se o malý klidný lokalita , kde by se lavička hodit k odpočinek . mezi ulice točný a Machálův být krásný pěší cesta s alej podél potok Leskava . při procházka být zjistit , že zde být žádný lavička , kde by se moct obyvatel sednout a spočnout pod strom nebo třeba sledovat utkání na hřiště . lavička být sice v parčík na točný , ale ten se nacházet u hlavní silnice a být v stín . proto navrhovat lavička i zde , v stín a klid . ideální pro starý obyvatel nebo maminka s kočárek . ","projekt být sloužit široký veřejnost , který využívat rekreační plocha brněnský přehrada ",0
106,LED pouliční osvětlení s FV ,"oáza být místo plný zeleň , voda , život a inspirace . strom zajistit stín a pohoda , voda osvěžení pro člověk i strom a inspirace najít v knihobudka . oáza ožít i díky krmítko pro pták a broukoviště , ale hlavně díky aktivní člověk a dítě . oáza být odjakživa místo spojený s voda , život a setkávání . člověk v on vždy nacházet místo odpočinek v stín strom , ale také získávat inspirace a předávat se vědění nebo poznávat nový přítel . oáza v Řečkovice , Mokré hoře a Medlánka být věrný tento odkaz . nabídnout příjemný chvíle s přítel , ale také třeba příležitost pro nový seznámení . díky vodní prvek se návštěvník ochladit v horký den , nebo být moct nabrat voda pro zalití okolní strom . v knihobudka se vybrat zajímavý kniha , nebo být pozorovat hravý sýkorka na krmítko . náš cíl on vybudovat #num# takový inspirativní místo ( na horácký náměstí , sibiřský , Medlánecký , žitná , Nový náměstí , Renčová , Jandásek , Cupáková , ... ) . v stín strom a poblíž dětský hřiště , který by se doplnit o lavička , stolek a nový inspirativní prvek : #num# ) dřevěný knihobudka pro potěcha lidský duše . člověk se moct vybrat kniha nebo hra a odnést se on třeba i dům . na oplátka pak případně přinést jiná . #num# ) krmítko a pítko pro pták , broukoviště . návštěvník zde moct krmit a pozorovat sýkorka a drobný pták , hmyz a něco se tak o on i dozvědět nebo se prostě jen tak radovat z jejich přítomnost . #num# ) vodní prvek pro radost člověk a strom . pítko a vkusný nádrž s voda ( dobře dešťový ) na zalévání strom . zde on náš cíl člověk inspirovat k zalévání okolní strom . člověk on tak moct poděkovat za stín , který on chránit před žhavý slunce a příjemný chládek v léto . #num# ) informační tabule o oáza , strom a jejich zalévání . zajištění dostatek voda v příroda být nezbytný k ten , aby zůstat rostlina i strom zdravá v čí daleko teplý a suchý léto . a aby být oáza skutečně zelená , být na vhodný místo v jejich blízkost případně dosázet i další strom a u stávající strom být vytvořit zalévací místo pro jejich efektivní zalévání . ","projekt sloužit celý město , vést k značný úspora elektrický energie ( i v srovnání s stávající výbojka ) . v případ realizace všechen navrhovaný opatření být návratnost projekt velmi rychlý . k realizace by se mít přistoupit okamžitě - v zájem obyvatel ! ",0
107,podzemní kontejnerový hnízdo ,"jít dát mladý člověk i dospělí místo , kde moct překonat svůj limit , naučit se něco nový a získat nový přítel , a také místo , kde se moct hodně bavit , nežli doma sledování televize nebo počítač . Skatepark být speciálně upravený plocha pro skateboardista , jezdec na BMX , jezdec na koloběžka ( scooter ) , jezdec na in-lin brusle , longboard , případně horský kolo , na skateparka být umístit různý překážka , dráha a rampa . Skateparka moct být případně i zastřešený . z svůj vlastní zkušenost být se proto obrátit s ten ten projekt na dát na vy z důvod ten , že být v Brno tolik skateparek jako prst na jeden ruka a většina z on splňovat velký část standard pro jezdec , který být na jiný úroveň a potřebovat například trénovat na závod apod . proto tento člověk rád jezdit v město , kde takový překážka být např . ať být ten zídka , nebo zábradlí nebo jiný prvek v městský část . rekonstrukce starý skatepark v Brno komárově ( ulice Černovický ) by proto chtít nabídnout všechen , který se chtít daleko posouvat a nebo ten , který o tento sport moc vědět a rád by se něco nový naučit a dozvědět . navíc ten ten projekt vyřešit hodně problém . ať být ten např . málo místo , že se v skatepark zajezdit kvůli velký počet dítě , nebo být ten vyhovující překážka ( domyšlený ) a nebo také kvůli nepřízeň počasí ( vítr ) skatepark se totiž většinou nacházet na otevřený prostranství . a také málo zničený plocha ( zábradlí , lavička apod . ) v Brno , kde muset člověk trénovat , protože současný skatepark tento překážka nabízet . předem moc děkovat všechen , kdo ten ten projekt podpořit a být my držet palec . ",díky podzemní kontejner na tříděný odpad se výrazně zlepšit veřejný prostranství a zkulturnit prostředí náš městský část Nového Lískovec . navíc vzniknout pět nový parkovací místo . ,1
108,parkoviště na ul . u hřiště ,"na pomezí Komín a Jundrov za most na křižovatka cyklostezka , vedle sportovní areál a vodní aktivita se nacházet plocha vhodný na oplocený výběh pro pes . v blízkost jundrovský most se dnes nacházet prostor volnočasových aktivita – on ten molo pro osmiveslice , nástupní místo pro kánoe , sportovní areál . navrhovaný prostor ( cca #num# m #num# ) zabírat částečně pozemek k.ú. Komín #num# / 52,57 ,58 ) , patřit do záplavový území , muset zůstat volný a moct se na on budovat jiný stavba . jednoduchý oplocený výběh pro pes s několik cvičební prvek a lavička by vhodně doplnit sousední sportovní areál , kam být vhodný chodit se zvíře , přičemž sem přicházet velmi často kompletní rodina , doprovázený pes . povrch by být vhodný provést minimálně z ½- #num# / #num# v forma zpevněný mlat , protože samotný travnatý povrch v výběh velmi trpět a rychle podléhat devastace . ","zvýšení počet parkovací stání z důvod výrazný nedostatek parkovací stání v obytný zástavba . tento projekt se zaměřovat na potřeba občan , zvláště na obyvatel Starého Lískovec . ",1
109,pohodlný cyklopříjezd k přehrada ( PD ) ,"v směr z Pompův ulice : jestli někdo přijíždět zleva , být vůbec vidět . vědět , že přijíždějící zleva mít dávat přednost , ale místo vést i frekventovaný cyklostezka . cyklista bývat snadno přehlédnout . podívat se na křižovatka v směr z Pompův ulice . jestli někdo přijíždět zleva , být vůbec vidět . být tam hodně zarostlý keř . jít dát na daný místo zrcadlo . pomoct všechen . ","všechen cyklista a případně in-lin bruslař jedoucí z Brno na přehrada se zpříjemnit , zkrátit a zkvalitnět jejich cesta , který se zároveň stát mnoho bezpečný . vyhnout se provoz , rušný ulice i křižovatka a pojet po stezka zasazený hodně do příroda v blízkost řeka . ",1
110,Řečkovice s Jára Cimrman ,"vybudování jezírko a související úprava okolní krajina v starý Lískovec v oblast za dálnice . přeměna kus podmáčený pole na přívětivý místo pro člověk i příroda . v starý Lískovec být vzhledem k jeho k obklopení dálnice málo možnost cesta do krajina , jeden z málo vést po úzký chodník podél frekventovaný silnice do Ostopovice , být ten úsek , který chtít mít co rychle za se . proč zde rád mít místo , kam být příjemné chodit , ať už na procházka s pes , s dítě , nebo i na ryba , za koupání či na ovoce . projekt zároveň umožnit vybudovat první úsek plánovaný cyklostezka starý Lískovec - Ostopovice . oblast mít vysoký hladina spodní voda , který se často projevovat podmáčení , mít by stačit terénní úprava - vyhloubení jezírko a použití vytěžený materiál na terén břeh . být v soulad s územní plán , který ten navrhovat využití kategorie hydrologický . ","stezka záhy zavést návštěvník z řada široký veřejnost z městský zástavba do malebný čistý příroda a dopřát on tak pohyb na zdravý vzduch . poutník se na stezka pobavit a zábavný forma stezka moct přimět i jedinec , který turistika , nebo sport holdovat k pohyb v příroda . návštěvník se také násilný forma moct dozvědět zajímavost z historie již zaniklý objekt a o osobnost , který zde v ten doba žít . objekt na stezka také esteticky doplnit krajina a lavička posloužit k odpočinek . ",1
111,Knihobudka ,"zavedení odpadkový koš na Medlánecký kopec . chtít by zavést odpadkový koš na Medlanecký kopec - kopec střelecký , aby pomoct zachovat krásný příroda v okolí a také zlepšit životní prostředí . na kopec být ani jeden odpadkový koš . první odpadkový koš být umístit až daleko pod kopec ( #num# m ) . návštěvník být však trpělivý a odpadek jednoduše vyhodit do příroda , proto muset jednat - muset prosadit tento projekt , aby být opět hrdý za náš příroda v okolí . tento projekt by značně zlepšit životní prostředí na Medlánecký kopec . ",široký veřejnost - zejmit senior a sociálnĕ slabý skupinĕ obyvatelstvo ,0
112,vybudování propustek přes Hlubočka ,"obnova původní hřiště z #num# léto obnova původní hřiště z #num# léto . v současnost být v Pisárka a Masarykův čtvrt , tedy v docházkový vzdálenost žádný hřiště určený pro malý a velký dítě . hřiště by mít by sloužit pro aktivně strávený čas rodina s malý i veliký dítě a místo pro mezigenerační setkávání soused . ","cyklista a pěší z sever Brno - Žabovřesky , Medlánek , Řečkovice , mokrý hora , lesný , sever Králův pole . ",1
113,kluziště Medlánka ,"v bezprostřední blízkost Bystrc se nacházet krásný areál obora Holedný , do který být však z tento strana velmi obtížný přístup . navrhovat vybudovat schůdný a bezpečný vstup do obora od ústí potok vrbovka - cca #num# m od zastávka MHD kamenolom . k přístup do obora Holedný z údolí od Bystrc se nabízet využít stávající lesní cesta , který se moct dostat , po krátký stoupání , až na okružní zpevněný komunikace v samotný obora . odtud se dát pohodlně dojít k nový rozhledna , k jezírko , anebo do Jundrov , či až do Kohoutovice . současný přístupový cesta být z tento strana obora zcela vyhovující . po většina rok být velmi zabahněný a místo bezpečný , vhodný spíše pro vrcholový kaňoning a ne pro běžný turista . návrh spočívat v rozšíření a zpevnění místní přírodní cesta v délka cca #num# m. celý trasa být navrhnout do #num# úsek . spodní část vést kolem řeka , po stávající komunikace , který by se v délka #num# m vydláždit . být zde velký zatížení od pěší . v druhý úsek by se současný lesní cesta vysypat štěrkodrtit , zhutnit , podélně ohraničit dřevěný kuláč a odvodnit . třetí část využívat lesní cesta v svah , který by se muset rozšířit , vysypat štěrkodrtit , zhutnit a proti eroze opatřit dřevěný nízký stupeň . návrh dobrý přístupový cesta do obora Holedný být směřován , nejen k obyvatel Bystrc , ale i pro ostatní občan Brno . , který se chtít v tento přírodní areál rekreovat a sportovat . od zastávka MHD kamenolom by stačit přejít po lávka přes Svratka a rovnou se vydat vzhůru do obora a být by třeba se zacházet několik kilometr . ","kluziště být určit široký veřejnost . dopoledne se počítat s využití pro školní mládež , odpoledne pro rekreační a sportovní využití veřejnost . v případ zájem , být vyčlenit rovněž speciální čas pro senior . ",1
114,basket na Mlýňák ,"Discgolfový hřiště Brno-střed mít devět koš pro hra , ale žádný pro odpad . být tak příliš div , že nejen Brňan oblíbený odpočinkový zóna v výsledek připomínat spíše smetiště . cíl být tedy chybějící koš přidat - a zamezit tak znečišťování park . Discgolfový hřiště Brno-střed , nacházející se u cyklostezka na levý břeh řeka Svratka , poblíž ulice opuštěný , být oblíbený destinace nejen pro hráč discgolf , ale i hráč volejbal , rodina s dítě , pejskař i další osoba . ačkoli ten zde trávit množství čas , na celý plocha být jediný odpadkový koš . ten také vést k ten , že prostor být plný odpad , který objektivně být kam vyhodit . navrhovat tedy rozmístit v prostor hřiště , poblíž lavička a volejbalový hřiště , až po přechod u křižovatka ulice opuštěný a uhelný , odpadkový koš . jít o drobný vylepšení , který ale moct výrazně pomoc zpříjemnit prostředí v centrum Brno a hlavně umožnit trávení volný čas skutečně v příroda - v park , ne na smetiště . ",tento projekt být prospěšný zejména pro dítě a sportovec v lokalita . vytvořit možnost aktivně strávit volný čas a zlepšit propojení vazba v komunita . ,1
