project_name,project_description,public_interest,status
Parkourový hřiště a sociální zázemí,"náš snaha být vybudovat sociální zázemí , parkourový překážka a posilovak prvek v sportovní areál "" pod pekárna "" v Brno  Bystrc . chtít tento zvýšit možnost areál a nabídnout vysoký komfort návštěvník a sportovec při jeho užívání . hlavní představa projekt být vybudování parkourový hřiště složený z překážka vhodný k trénování parkour a akrobacie pro dítě i pokročilý , doplněný o posilovací prvek jako být hrazda a další pomůcka pro kalistetický posilování . druhý část projekt být výstavba sociální zázemí , záchod a pitný voda pro návštěvník všechen část areál , tedy asfaltový pumptrack , dirt park , minirampa a parkourový hřiště . náš cíl být tento zakombinovat do příjemný , přírodní prostředí pod pekárna a utvořit nejen místo pro sportovní aktivita , ale i místo vhodný k aktivní odpočinek v bystrcký údolí oddech .","projekt pomoci k rozvoj moderní sportovní a freestylový disciplína v dnešní doba co daleko často vyhledávaný mládež a široký veřejnost , disciplína , který dnes již moci řadit mezi disciplína olympijský . vzniknout místo aktivní odpočinek a do budoucno být mít areál potencionál stát se špičkový prostředí pro mladý sportovec i místo vhodný k provozování volnočasový aktivita pro rodina s dítě .",1
MiniBrnosvět : památka v měřítko 1 : 50,"model hrad , zámek , palác , kostel , kaple , synagoga pro dítě i dospělý . obdobný atrakce u my mít v Ostrava a v Bystřice nad Pernštejn , zvažovat i Břeclav . základ být být stejný  místo zřícenina ukazovat rekonstrukce hrad či zámek , ale nejen ten ! po svět růst model miniatura , v Bystřice nad Pernštejn a v Ostrava , v Billund či Haag a jinde  svět miniaturní kopie památka být nic obvyklý , jen jinde Brno předběhnout . brněnský park miniaturní památka být být ale v něco jiný  nabízet být seznámení se především s památka , který být v minulost ohrozit úmyslný zboření ( zámek Uherčice ) a dnes se opravovat , který být bezprostředně ohrozit demolice ( zámek v horní dlouhý loučka , zámek v Brno  Zábrdovice ) , kde demolice probíhat ( zámecký areál v Brno  Jehnice ) , nebo který být úmyslně srovnat s země po rok 1918 , 1948 ( zámek Odra , zámek Štítina , zámek Karlovec , evangelický kostel v Křišťanovice a dolní Holčovice , kostel v Brno  Černovice románský kostel v Mnich . . . ) i po rok 1989 ( synagoga  polský templ v Brno na křenový ulice v červenec 2018 ) . k jednotlivý památka být být doplnit letáček , u ohrožený památka být být odkaz na petice proti jeho demolice ( QR kód , odkaz web ) . měřítko 1 : 50 , doporučený lokalita konzultovat s starostka Komín , který děkovat za pomoc s výběr místo . na lokalita ale trvat , model památka lze umístit dle zájem město i v jiný část město , pokud být zvolený lokalita nebo některý z blízký parcela v majetek město z jakýkoli důvod vyhovovat . projekt doplňovat dovoz zahraniční kniha o památka a historie do knihovna Jiří Mahen k lepší pochopení náš vlastní památka .","turistický atrakce pro dítě v věk od tři léta , maminka s dítě , rodinný výlet i pro dospělý . příležitost seznámit se s zaniklý památka , po který zůstat jen veřejnost obtížně dostupný fotografie a plán v archiv . jako bonus  výchovný charakter  upozornění na význam péče o památka a možnost podepsat petice a přispět tak k záchrana památka , kde zničení hrozit v dnešní doba , být právně památka nebo být ministerstvo kultura vyjmout z seznam stát chráněný památka .",1
Brno do sluchátko : hudba od my na CD,"Brno se hlásit k Leoš Janáček  který my ale vybojovat svět . chtít , aby Brno být jako čtenář jediný kniha a hlásit se jen k jediný skladatel . jenže mnohý hudební skladba zůstat jen v nota  existovat nahrávka nebo být dostupný . cíl být vytvoření série cédéčko k poslech s hudba moravský , zejména brněnský hudební skladatel , vynechat známý jméno , upřednostnit ten , kde zůstat převážně jen nota .","seznámení veřejnost s hudba z Brno a Morava od autor , který koupit na CD ani přehrát na internet",1
Hřiště s mamut v Masarykův čtvrť,"obnovení dětský hřiště s návaznost na blízký Anthropos . vytvoření přirozený prostor pro hra , vzdělání , rozvoj a sport dítě , prostor pro setkávání rodina a také místo mezigenerační sblížení . oživení rezidenční čtvrť a komunita . cíl projekt být znovu probudit k život prostora bývalý hřiště za dům Preslův 37 a 39 , který být zbudovat společně s tamní výstavba . v současnost být zde pouze travnatý plocha , kde se dítě často hrát , přesto však místo nabízet velký možnost k hra malý dítě ani k jiný společenský aktivita . vzhledem k ten , že blízký hřiště být na Vaňkův náměstí ( 850 metr ) a pak až areál kraví hora ( 1,3 kilometr ) , považovat prostor bývalý hřiště za ideální k snadný realizace místo pro hra a sport dítě nebo i prostor pro setkávání rodina a soused . v tento oblast také docházet k výrazný generační výměna , kdy se mezi převažující generace důchodový věk stěhovat mladý rodina . vzhledem k ten být se obnovený hřiště moci stát i místo setkání takto rozdílný věkový skupina . v rámec realizace být místo mít projít následující úprava : zakomponování přírodní prvek pro hra malý dítě ( skluzavka v tvar mamut , zastřešený paleontologický hřiště s zkamenělina , jeskyně s tabulový nátěr a možnost vytvářet freska křída ) , houpačka , hrazda , atd . , workoutový hřiště pro dorost a dospělý , pingpongový stůl , altánek s lavička a stůl zejména pro rodič a senior , zpevnění horní svah dřevěný palisáda , který zabránit zaplavování hřiště zemina a zároveň vytvořit přirozený tribuna pro plácek na míčový hra , dřevěný oplocení hřiště s branka na západka jako prevence zakutálený míč na místní komunikace a zvýšení bezpečnost dítě , smyslový stezka podél hřiště ( jehličí , písek , kamínek , kůra , tráva , šiška , … . ) navazovat na téma pravěký doba a být určit pro vnímání různý povrch a přírodní materiál bosý chodidlo tak , jak ten činit náš předek , než se obout do bota . stezka být mít být podél hřiště , být tedy možný , aby se chodec v případ potřeba přidržovat dřevěný plot , obnovení veřejný osvětlení ( znovu nainstalování lampa veřejný osvětlení ) .","veřejný přínos projekt : rád být vybudovat dosud chybějící prostor pro hra a sport dítě i dospělý v nádherný rezidenční lokalita Masarykův čtvrť . tedy zóna pro setkávání rodina , soused a přítel . vzniknout tak zdravý a příjemný místo k život obyvatel všechen generace .",1
naděje pro Brno čistý 2020,"v Brno se dlouhodobě hromadit a uklízet malý odpad , na těžko přístupný místo , konvenční metoda úklid , smeták a koště na malý kousek odpad , stačit a jiný postup být pořád v dohledno , přitom tento druh odpad být v Brno rozšířený . . všechen městský čtvrť , v Brno , spojovat , společně problém , jeden s takový být drobný , všude přítomný odpad , často v těžko přístupný místo , či jen těžko ukliditelný , smeták a lopata , nebo sběrač odpad , mít na mysl hlaveň , drobné , kousek plast , vršek od pivo , nedopalek , drobný obal od bonbón . . . kousek sklo , kousek plast z pet lahev , který být rosekat křovinořez , firma co se mít starat o zeleň . . tento odpad , se ještě dát uklidit na rovný , betonový plocha , byť i ten muset být vždy jednoduchý a efektivní , ale v tráva , kolem odpadový koš , kolem zastávka mhda a podobně , ten v současný doba , být řešitelný , řešený , neustále se zvětšující se problém , který být k vidění každý den . a tak potkávat u zastávka , stále stejný , zvětšující se , uklizený , odpadky , který skrýt na nějaký čas jen tráva . řešení , vidět , v doposud málo používaný technologie , jaký mít každý doma  vysavač . navrhovat proto zřízení speciální komunikační kanál , který být napříč městský část Brno  střed , umožnit běžný občan , jednoduše nahlásit problematický oblast , kam být následně moci být vyslat úklidový četa vybavit speciální pouliční vysavač , který být se s drobný nepořádek poradit rychle a efektivně . jít jistě o žádný novinka , v český Budějovice a v nový Lískovec již tento druh vysavač vysávat drobný odpad , nejen z spára mezi dlažební kostka , přesto , komplexní a rozsáhlý řešení , jenž být být potřeba , stále chybět . tento projekt být sloužit jako pilotní , ideální konečný cíl nad rámec projekt , být sjednocení všechen část do jeden systém , jeden aplikace . v současný doba být běžný naleznout kus igelit , pokud on odnést vítr na stejný místo rok i dlouho . . . co se pak s on stát on asi každý jasný , působení počasí se rozložit na milion malý rozpadající kousek , který sice nápadně , avšak vratně poškozovat životní prostředí , kolik takový odpad se dostat do řeka a vodní nádrž ? do kanalizace ? v současný doba čistírna město Brno disponovat technologie aby odfiltrovat mikročástice a nanočást plast z voda , ten se pak dostávat dále . . .","cíl projekt zapojit široký veřejnost do vzájemný spolupráce mezi město a jeho občan , občan pomocí jednoduchý aplikace , nebo stránka , moci zasílat svůj tip na problematický část Brno  střed , ten být pak být přeposlat odpovědný místo , který být pak mít k dispozice speciální , komunální vysavač , který být být schopný skutečně uklidit i problematický malý ( nikoli bezvýznamný ) odpad , jaký být kousek plast , sklo , nedopalek , víčko od pivo , hliníkový vršek od hliníkový plechovka . , jehla . .",1
nonstop toaleta v Lužánky,"nově zrekonstruovaný toaleta být v provoz převážně v doba , kdy ten být potřeba , naopak v doba , kdy ten potřeba být , být zavřený . budova s toaleta v Lužánky být otevřený v doba 7  18 hodina od březen do listopad . lidé bohužel toaleta potřebovat i mimo tento otevírací doba . v park se lidé vyskytovat celoročně . pro vykonání potřeba lidé obvykle potřebovat asistence , takže nonstop personál na toaleta být nutný . pokud se někdo obávat , že toaleta být okupovat bezdomovec , moci on kontrolovat strážnící na svůj pravidelný pochůzka . vysoký náklad přinést vandalismus .",Park Lužánky být méně pomočený a lidé se být mít kam odskočit .,1
zachránit cyklista v ulice Šárka ! ( PD ),"cíl projekt být vypracování projektový dokumentace cyklostezka podél ulice Šárka v směr do Kohoutovice pro zajištění bezpečnost cyklista pomalu stoupající do Kohoutovice zatímco v těsný blízkost projíždět vozidlo rychlost 70 kilometr / hodina . hlavní komunikace do Kohoutovice , který být ulice Antonín Procházka přecházející v Libušin údolí a Libušin třída být dostatečně široký a cyklista být na on v bezpečí . jinak být ten ale u ten , který odbočovat z ulice Antonín Procházka na ulice Šárka . ač se jednat pouze o celý kilometr silnice , cyklista za ten doba vystoupat asi 50 výškový metr ( 6 % stoupání ) a projetí tento trasa on tedy nějaký čas zabrat . povolený rychlost automobilový doprava po velký část úsek být však 70 kilometr / hodina , což tvořit velmi bezpečný situace . v opačný směr z kopec zde cyklista strávit podstatně méně čas a problém být výrazně malý . v směr do Kohoutovice být po pravý strana udržovaný pás trávník , po který se však v současnost cyklista rád vydat . pokud být se zpevnit tento pruh vedle silnice , ať už asfalt či šotolina , a vybudovat se zakrytý odtokový žlábek na voda , tento problém být se poměrně levně a elegantně vyřešit . omezený šířka pás být vzhledem k jednosměrný provoz cyklista mít být překážka .","projekt prospět bezpečnost všechen cyklista , který dojíždět do zaměstnání na kolo , ale i všechen rekreační cyklista , který silnice Šárek využívat a chtít se dostat z centrum město do starý Kohoutovice přímo bez objíždění přes Libušin údolí a Libušin třída .",1
poznávat MČ Bystrc,"MČ Bystrc být v novodobý historie spjatý s lokální rekreace obyvatel Brno . na jeho území se nacházet významný turistický zajímavost Brno . obyvatel nejen MČ Bystrc nebo turista být těžce vyhledatelný nějaký turisticky atraktivní souhrnný informační zdroj k historie a všeobecný zajímavost MČ Bystrc . webový informační zdroj být hodně , informace být ale hodně roztříštěný a ucelený . v katastr MČ Bystrc se nacházet významný turistický zajímavost Brno : hrad Veveří , zoo Brno , brněnský přehrada , pozůstatek plánovaný Hitlerův dálnice , památný strom , přírodní rezervace , rozsáhlý síto veřejný dětský hřiště a sportoviště . samotný MČ Bystrc představovat převážně obytný zóna , jehož velký část tvořit sídliště vybudovaný v období socialismus . z pohled architektura vzniknout i v tento doba významný objekt , který být zařadit do brněnský architektonický manuál , například . objekt Letná . návrh zpracování projekt k zvýšení informovanost o turistický zajímavost a možnost volnočasový vyžití na veřejný prostranství v MČ Bystrc zahrnující : 1 . vytvoření turistický publikace ( průvodce ) . 2 . komentovaný turistický prohlídka MČ Bystrc . 3 . beseda s pamětník . 4 . mapovací obrazový výstava MČ Bystrc v veřejný prostor ( mobilní informačně vyměnitelný prezentační panel ) . 5 . vytvoření síť turistický okruh na různý téma s informační turistický bod / značka v nápadný provedení ( například . po stopa architektura dle brněnský architektonický manuál , informační bod vyznačit na chodník ; okruh k historický vývoj Bystrc , cedulka s QR kód na lavička / sloupek s odkaz na elektronický informace nebo do tištěný letáček s mapka okruh apod . . primárně být myslit klasický informační tabule s rozsáhlý text ) . 6 . zřízení informační turistický point v MČ Bystrc v podoba mobilní stojan s informační turistický letáček v veřejný budova ( knihovna , společenský centrum , radnice , předprodej jízdenka MHD na přestupní terminál Bystrc ZOO , na pokladna zoo apod . ) .",zvýšení informovanost obyvatel a turista o historie a turistický zajímavost MČ Bystrc .,1
oživení lesní areál,"v rámec katastr MČ Bystrc se nacházet i místo , který být střed pozornost turismus a zasloužit být se také o zvýšení svůj turistický atraktivita . MČ Bystrc být okrajový část Brno , který být tvořit převážně obytný zóna s veškerý občanský vybavenost a s zajištění všechen základní služba pro obyvatelstvo . průmyslový zóna zde být zbudovat . základní charakteristika oblast být klid a velký množství zeleň . MČ Bystrc být v novodobý historie spjatý s lokální rekreace a odpočinek obyvatelstvo Brno . součást katastr MČ Bystrc být brněnský přehrada a ZOO Brno . lesní areál ( 49.2367328 N , 16.5311286 E ) se nacházet na pomezí katastr MČ Bystrc a MČ Kníničky za hranice zoo Brno . místo udržovat MČ Kníničky . lesní areál působit ponuře a zanedbaně . v svah se nacházet historický „ loch “ , kde být odhodit odpadky . celý areál být v svůj nynější podoba moci sloužit filmař k natáčení horor i vzhledem k ten , že přístupový cesta vést kolem plot zoo Brno pod ubikace lední medvěd a místy tento plot být děravý a oprava být na on jak štupování na ponožka . v dávný doba proběhnout v médium informace o prohrabání se vlk z vlastní ubikace . autentický prostředí horor být tak moci být okořenit i o tento nebezpečí i s vytí vlk . návrh zvýšení turistický atraktivita oživení lesní areál do dobový podoba první republika . 1 . prosvětlení místo prořezání porost . 2 . obnova antukový hřiště . 3 . vybudování nový odpočinkový altán . 4 . obnova pumpa . 5 . zajištění bezpečný přístup k „ loch “ . 6 . zbudování turistický informační tabule k místo . 7 . oprava plot zoo kolem přístupový cesta k lesní areál . nebo jiný odborný řešení vedoucí k zlepšení stav .",zvýšení turistický atraktivita místo .,1
"Bike friendnout "" "" kruhový objezd ( PD )","v MČ Bystrc se nacházet pouze jediný kruhový objezd na ulice . odbojářský . řešení křižovatka pomocí kruhový objezd být jeden z lepší dopravní řešení . z pohled cyklista být však křižovatka s kruhový objezd na ulice odbojářský ne zcela přehledný , a to z důvod : 1 . vysoký zídka ; 2 . vzrostlý udržovaný porost ; 3 . přehledný sjezd z starý dálnice . být případ , kdy vozidlo vjíždějící z sjezd starý dálnice dát přednost cyklista jedoucí na kruhový objezd . návrh vypracování projektový dokumentace rekonstrukce kruhový objezd na úroveň výška silniční ostrůvek osázený záhon náročný trvalka a doplnění křižovatka instalování silniční zrcadlo k zvýšení dopravní bezpečnost . nebo jiný odborný řešení vedoucí k zvýšení dopravní bezpečnost .",zvýšení dopravní bezpečnost nejen cyklista .,1
doma být doma  hledat se Senior  manager !,"zprostředkovatelský služba , který být ( v rámec Famila friendlo communita ) mít nabízet každý městský část , jako projev poděkování a vděčnost dlouholetý rezident , který pracovat , žít a zestárnout v jeho obvod , a teď být závislý na cizí pomoc kdo být služba určit  osamělý senior ( 70 + ) , který celkový stav již umožňovat plně samostatně vést domácnost nebo rodinný dům , organizovat nebo zařizovat jinak běžný životní záležitost ;  pro klient bez pevný ( nebo žádný ) sociální vazba na rodina nebo blízký okolí , ztrácející soběstačnost , s zhoršený mobilita , s lehký porucha kognitivní funkce , či jinak handicapovaný , ale zatím ještě schopný s asistence druhý osoba žít v svůj domov ;  již stávající žadatel o pobyt v zařízení sociální . péče , který ale v řád měsíc nebo i léta mít ( z kapacitní důvod ) zatím šance na umístění . cíl : společný síla udržet tento stárnoucí spoluobčan v jeho původní prostředí při zachování a / nebo ( a ten zejména ! ) zlepšení jeho stávající životní úroveň . oddálení nutnost jeho umístění do zařízení sociální péče , nebo umožnění on v jeho domov důstojně dožít . ten , u jenž ten možný být , doprovázet a ulehčit on přechod do nový prostředí ( LDN , domov s pečovatelský služba , domov pro senior , hospic ) a ztratit s on kontakt ani tam ; personální obsazení : senior  manager ( manažer )  1 koordinátor pro maximum . 7  klient ; spolupracující skupina dobrovolník  Senior asistent ; v rámec městský část  spolupracující praktický lékař , sociální pracovnice , domácí péče , pečovatelský služba , právník ; náplň práce : návštěva klient v jeho domov , seznámení se s prostředí a specifický potřeba konkrétní senior , zmapování již poskytovaný služba , zhodnocení aktuální situace , v další krok : nabídka pomoci s koordinace chod domácnost  zajištění pečovatelský služba , úklid domácnost , dopomoc s osobní hygiena , dovoz jídlo , vaření o víkend , pravidelný nákup , praní , žehlení , doprava k lékař , vyzvedávání lék , zdravotní pomůcka , realizace drobný oprava v domácnost , péče o domácí mazlíček atd . organizace tým vhodný pečovatel / asistent a kontrola jeho činnost ;","až osmdesát procento senior se přát dožít doma  tak on tento přání pomoci uskutečnit ! zorganizovat ten vlastní síla bývat už v pokročilý věk problém , starost se kupit a rodina daleko , nebo chybět vůbec . nabízený socialně  zdravotní služba být sice dnes v velký město dost , ale starý člověk se v jeho nabídka těžko orientovat , zvlášť , pokud být internetově gramotný . chybět on rádce  koordinátor , který být fungovat jako prostředník mezi on a poskytovatel různorodý služba .",1
herní prvek u žebětínský rybník,"žebětínský rybník být přírodní památka . jednat se o oblíbený místo , který být hodně navštěvovaný obyvatel , hlavně rodina s malý dítě z přilehlý městský část Žebětín a Bystrc . odpočinkový a pozorovací prostor představovat pouze dva lavička a odpadkový koš . vzhledem k svůj velký oblíbenost být stát za ten se zaměřit minimálně na zlepšení odpočinkový prostor a přetvořit on do turisticky atraktivní herní krajinářský prvek především zaměřený pro dítě . navrhnout 1 . současný mobiliář ( 2 lavička ) nahradit zastřešený altánek s informační tabule o vhodný chování návštěvník . 2 . doplnit malý tematický dřevěný krajinářský herní prvek na motiv místní fauna . nebo jiný odborný řešení vedoucí k zatraktivnění misto .",zatraktivnění odpočinkový prostor u žebětínský rybník především pro dítě . zvýšení povědomí veřejnost o místní fauna a flóra .,1
úprava prostranství příkop bratislavský,"návrh úprava zanedbaný prostor kolem parkoviště na křižovatka ulice příkop a bratislavský . jednat se o vybudování chodník na parkoviště , osazení keř a úprava místo pro kontejner na tříděný odpad . prostor být zanedbaný . všude poletovat odpadky , vstup na parkoviště být přes blátivý pás , kde být díra od potkan . cíl být vybudovat dva cirka metrový chodník v přirozený koridor a zbytek osadit živý plot pro optický oddělení prostor ulice a parkoviště a případný doplnění treláž pro popínavý rostlina .",zlepšení vzhled místo a zamezení poletování odpadky z stávající kontejner .,1
brněnský architektonický procházka,"procházka brněnský architektura určený pro brněnský patriot , který chtít znát Brno mnohem více a do hloubka než běžný turista . nejenom architekt a stavitel , ale zajímat my i člověk , který zde bydlet a bydlet , kdo a proč . projekt být doplnit poptávka ohledně vysoko zmíněný téma kulturní centrum , který se spíš orientovat na turista a další návštěvník , který město znát . tento projekt se chtít naopak orientovat na zájemce , který město znát , chtít být on poznat ještě více a případně se o svůj poznatek podělit . prostě pro brněnský patriot . a ten být v řada senior , ale i třeba student architektura spousta .","projekt přispět k smysluplný naplnění volný čas nejen senior , upevnění jeho kulturní identita , zájem o místo , kde žít , možnost komunikace s lidé podobný zaměření , ale i s lidé třebas i o dva generace mladý ( student ) , propojení místo a historický identita díky účast v místo bydlící občan .",0
galerie korzo Gorký,"humanizace ulice Gorký – na výstavní panel podél boční zeď porodnice obilní trh na ulice Gorký  pokračování uliční galerie na Jaselská ulice galerie korzo Gorký  celkem 20 plocha na výstavní panel umístěný před stávající boční zeď porodnice obilní trh na ulice Gorký . varianta s založení nosný kce . výstavní plocha do země a varianta samonosný s betonový základ na plocha stávající chodník ( CityBlock CTB 501  průběžný díl ) časově omezený prezentace streetart , grafika.foto , kresba ( cirka 3  4 měsíc ) akce Gorkéhoopen , venkovní produkce , městský korzo – podporovat deklarovaný záměr celkový rekonstrukce a oživení ulice Gorký","humanizace veřejný prostor , pro veřejnost",0
nový hřiště pro Vinohrady,"cíl projekt být revitalizace současný hřiště na ulice valtický . zároveň se předpokládat jeho částečný přeměna na dopravní hřiště . v MČ Brno  vinohrad se nacházet poměrně málo sportoviště , současně zde být ani příliš volný prostor pro budování sportoviště nový . proto navrhovat využít k výstavba nový hřiště současný asfaltobetonový plocha na ulice valtický . na místo se dnes nacházet tři "" hřiště "" pro basketbal a šest basketbalový koš . dítě se tu hrát rád , učit se zde jezdit na kolo , ale bohužel zde kromě rozbitý koš a starý betonový plocha nic jiný mít . proto navrhovat oprava tento hřiště . současně s on být provést i revitalizace přilehlý dětský hřiště "" Barevňák "" , který být dítě velmi často navštěvovaný a některý jeho součást být už hodně opotřebovaný . z současný basketbalový hřiště navrhovat vytvořit kombinovaný plocha pro míčový sport a dopravní hřiště . být zde položit nový polyuretanový povrch , který být měkký a tedy bezpečný , protože tlumit pád a snižovat riziko úraz . zároveň být tento povrch méně hlučný ( v případ dopadající míč ) . povrch být zhotovit v různý barva a být na on vytvořit silnice a křižovatka s vodorovný dopravní značení . svislý dopravní značení moci být mobilní a být bezpečně uschovat a používat jen v případ organizovaný výuka . u hřiště být osadit 6 nový basketbalový koš , pod koš být postavit fotbalový branka . za koš / branka být zřizit síť . u hřiště být postavit nový lavička a odpadkový koš . na "" Barevňák "" být pro starý dítě a jeho rodič postavit v zadní  využívaný část workoutový hřiště s gymnastický prvek . starý vyhovující prolézačka nebo jeho část být vyměnit za nový . ostatní dřevěný prvek prolézačka , který být v současnost oprýskaný , být obrousit a nově natřít . být provést revitalizace celý hřiště .",veřejně přístupný hřiště v centrum sídliště ocenit dítě z celý Vinohrady .,1
seznam se v Brno 2020,"možnost , jak seznámit a propojit lidé do ten doba neznámá , být nikdy dost , většina lidé žít v svůj sociální bublina ale být škoda , poznat také jiný svět a vesmír další , lidé v zajímavý město Brno , k ten být moci dopomoci tento projekt ! co kdyby náš komunikace být omezit jen na asociální síť , a akce který navštěvovat , ale moci být být možnost komunikace rozšířit i do ulice město , i jiný způsob , než být běžný oslovení ? za symbolický poplatek být v informační centrum město Brno , zájemce ( zájemkyně ) dostat připínatelný placka , specialně vyrobený pro tento účel , s logo město , registrační číslo , a malý volitelný samolepka , s symbol , jako být ryba ( rybaření ) hrnec ( vaření ) lyže . . . kytara . . . a podobně . . na speciálně vytvořený stránka ( nebo na již existující ) , být se pak lidé jednoduše zaregistrovat , vložit svůj fotka , nastavit svůj preference a pak s placka na batoh , či oděv , vyrazit na svůj každodenní pouto , podle symbol , být pak být pro jiný lidé jednoduchý , poznat , o jaký téma mít ten , či onen člověk zájem a být být jednoduchý zavést hovor a pro ten co být introvertní být pak být registrační číslo , pod který být on na stránka , být možný vyhledat a zkusit on oslovit . oslovený být se pak na stránka objevit zájem jiný zaregistrovaný i s jeho fotka a preference a bouda být nabídka přijmout , či nikoli . číslo být se také hodit v případ , když být čas na navazování rozhovor . když být mít seznamovací , otevřený období , stačit placka na chvíle schovat do šuplík . ne pro každý být klub či tematicky zaměřený sportovní akce , taneční . . ne na všechen tento akce se povést poznat někdo zajímavý , nový , přitom zrovna v Brno se ten úžasný lidé jen hemžit , jen se možná , každý den míjet na ulice , v mhd , v kavárna , hospoda . . akce být trvat 3 rok , součást být být také velký propagace , aby se moci zúčastnit co více lidé . jeden registrace , jeden IP adresa počítač , nebo telefonu.registrovat být se mít i z mobilní telefon i z počítač . nad systém být bdít pracovník , co být se starat o úprava a chod stránka , mazání falešný profil , řešení nahlášený chyba . . Ikdyž žít v velký město , problém samota být právě tady mnohdy velký , než na malý město .","jít o propojení ten dobrý z sociální síť a běžný internetový život , chtít být někdo říci , , že mít pěkný klobouk , ale být vy ten hloupý ? Ted moci , chtít být se zeptat , kde paní koupit ten krásný lodička , ale být na ten čas ? Ted moci , chtít někdo říci , že on ten slušet ? chtít být se s někdo nový , kdo ani být na facebook , popovídat o svůj koníček ? Ted moci . . a jednoduše ! tento projekt mít nahrazovat běžný komunikace , jen se snažit rozšířit jeho možnost",0
Líšeň  cesta kostelíček  Podlesná,"ulice kostelíček být slepý a plný auto . doprava být se zlepšit zlepšení sjízdnost polní cesta k ulice Podlesná . polní cesta být v zima a za deštivý počasí prakticky průjezdný . stačit být srovnat podklad , zhutnit a nanést vrstva asfaltový obalovaný drť . tak být už zlepšit cesta od Podlesný k kostelíček ( kaple ) . účel být zprůjezdnění cesta , jak uvést vysoko . moci být ten pomoci i svoz odpadek sako . příjemný cesta na procházka směr být kostelíček . cesta být se moci doplnit odpadkový koš pro pejskař . odhad cena : 250 metr x 3 metr šířka = 750 metr 2 x 1200 Kč / metr 2 = 900 000 Kč .",zlepšení průjezdnost a spojení ulice kostelíček a Podlesná . uživatel převážně motoristický veřejnost . ale jít i o zlepšení průchodnost pro pěší procházka .,1
víceúčelový hřiště v slatina  Vlárská,"stávající hřiště již vyhovovat současný doba a potřeba obyvatel . cíl projekt být jeho výrazný modernizace a vznik nový víceúčelový hřiště pro celoroční vyžití , včetně . ping  pong , pískoviště a odpočinkový lavička . a tak odvést dítě od mobil . nový hřiště být být víceúčelový tak , aby umožňovat provozovat co více různý sport v průběh celý rok ( fotbal , floorball , basketbal , házená , volejbal … v blízkost hřiště pak jeden ping  pongový stůl ) . povrch hřiště být být z bezpečnostní materiál , aby docházet k minimum úraz . kolem hřiště být vzniknout zázemí , který nyní absolutně scházet . jít být o lavička , na který se moci sportovec odložit věc , převléci a odpočinout se , případně na on moci posedět divák . v blízký okolí hřiště být v plán také dětský pískoviště a malý herní prvek pro malý . cíl projekt být celý areál oživit  v současnost po většina rok zet prázdnota , nabídnout tak široký možnost sport a zkusit přivést více dítě k sport .",modernizace současný téměř využívaný hřiště a rozšíření tak možnost sportovní vyžití v slatina . projekt cílit na všechen věkový kategorie včetně malý .,1
„ Kroftův – louka pod Palacký vrchem “,"provedení rekultivace daný území . v jižní část území se nacházet dva plocha udržovaný významný zeleň v město Brno , který být v majetek město a jehož plošný rozsah být možný zmenšit ( dle vyhláška číslo . 15 / 2007 SMB „ o ochrana zeleň v město Brno “ ) ; jednat se o plocha číslo . 79 „ Kroftův – louka pod Palacký vrchem “ zasahující areál pionýrský oddíl a plocha číslo . 81 „ Kroftův – pod Palacký vrchem “ , který na on navazovat směr do řešený území ( procházet přes on účelový komunikace ) ; jižní část území procházet zásobovací vodovodní řad DN 250 ; část území ležet v vzdálenost malý než 25 metr od okraj les . dle územně analytický podklad být řešený území zahrnout do významný pohledový svah ( zařadit v kategorie prostora . hodnota ) . předmětný území být součást takzvaný . zelený klín a krajinný komplex , který být vyhláška statutární město Brno číslo . 2 / 2004 , vymezit jako zastavitelný území . vzhledem k přípustný termín pro výsadba do 31.12 . 2024 navrhovat rekultivace znehodnocený území  lépe  ihned ! náhradní výsadba , oprava lavička , cyklostezka a architektonický dořešení daný oblast v rámec podpora boj proti sucho , zadržení voda v krajina a následný péče o zeleň , který být sloužit široký veřejnost . být důstojný vstup k vycházka do náš příměstský les a zeleň , který být významný součást náš životní prostředí a mít všechen občan sloužit k rekreace a méně důležitý funkce bioklimatický .","podpora boj proti sucho , zadržení voda v krajina , ochrana životní prostředí , dodržení aarhuský úmluva . příznivý prospěch pro široký brněnský veřejnost , vytvořit veřejný prostor pro aktivní odpočinek . místo kde se být bavit , relaxovat a cvičit dítě , dospělý i senior .",1
krytý zastávka s ostrůvek na konečný 55,"zastřešený čekárna , na konečný zastávka autobus 55 a N 99 v mariánský údolí s ostrůvek pro cestující . vážení . na konečný zastávka autobus 55 a N 99 , chybět přístřešek ( krytý zastávka ) a ostrůvek pro cestující . nastupovat tam hodně cestující a v případ déšť , nebo sněžení , se být kam schovat . realizace být přispět k zvýšení kvalita cestování do tento vyhledávaný rekreační oblast jak v zima , tak v léto .","zlepšení pohoda cestování a rekreace se týkat všechen obyvatel Brno a především Líšeň , který tento oblast hojně navštěvovat , jak v týden , tak především o výkend . být o východisko do moravský kras , možnost rybáření , koupání , cyklistika a zima bruslení .",1
