project_name,project_description,public_interest,status
silnice bezpečno dopravní hřiště / areál pohyb,"hustota provoz silnice Černovice růst učit předškolní dítě jezdit kolo , brusle , koloběžka volný prostor skoro možný . Prosor typ rozjet se , získat balanc jet zde prakticky . malý hřiště dítě 4 léta , velký místo předškolák , dítě stupeň ZŠ zde . dojíždět ´ daleký ´ Lužánky , Komín , riviéra , kde se dopravní hřiště těšit mimořádný obliba dítě se tam osvojit základ provoz dopravní značka velice zábavný forma . , jednoduchý nalákat značka semafor , popřípadě . přejezd mluvit . myslit , se tam hýbat více doma youtube kde situace sledovat video . umístění hřiště vidět ideálně volný prostor Mosilana takřka centrum Černovice , každý ležet ladem . prostor zde rozlehlý nabízet využití . sezónní kavárna , odpočinkový lavička , oddělený výběh pes , zastřešený skateboardový minirampa , možnost smysluplný využití moc . stačit zájem rozhýbat dítě pokusit se dostat opět ven vzduch .","uživatel hlavně dítě , bavit jezdit klouzačka hrát se písek ( takový hřiště dost ) , tzn . dítě 4 – 15 léta . bezpečný místo učení zdokonalování jízda kolo , koloběžka bruslení mimo pozemní komunikace bez nutnost nakládat auto odjíždět městský čtvrť . osvojení se základ dopravní pravidlo značka . možnost využití místní MŠ ZŠ například . spolupráce MP . setkávání celý rodina společný pohybový aktivita . případ výběh pes bezpečný forma venčení výcvik domácí mazlíček ( značka zákaz volný venčení pes Černovice více MČ Brno ) .",1
sousedský hra,"zatím úplně jasný představa , popsat smysl projekt hlavní bod . | * * * | rozvoj technologie často unikat město obzvlášť , se reálný svět daleko vzdálený . žít stejný čtvrť , stejný ulice , ba stejný vchod panelový dům , znát se . často rád , znát alespoň soused patro vedlejší dům . | * * * | sousedský hra cíl změnit . | * * * | můj vize : profesionální tým zkušený instruktor obor zážitkový aktivita pořádat společenský centrum ( dobrý počasí venku ) sousedský hra . pilotní projekt proběhnout městský část Brno Bystrc . místo se scházet celý rodina jednotlivec závisle věk , pohlaví , výše plat barva pleť , se zapsat domovní nástěnka zřejmý , sestavit vlastní tým číslo popisný , třeba jižní 1232 . ostatní , méně , se sdružovat tým , společný alespoň ulice blok . rozjíždět se zábavný večer , kde tým proti se soutěž různý disciplína . soused se rámec daný tým poznávat navzájem stejně soused ostatní tým , sice se vzdálený , pořád vedlejší obytný dům sousední ulice . naplněný večer vytvářet společný vzpomínka vazba . soused lepší pocit místo , kde žít , neboť tam mnohý znát . poskytovat dobrý výchozí podmínka aktivizace lidé . se dál pořádat akce se pomoci . uspořádat někdo dům grilování , tu soused zorganizovat úklid kolem dům petice oprava dětský hřiště dům . | * * * | propagace sousedský her probíhat forma leták , článek místní periodikum , případně rozhlas . přihlašování probíhat domovní nástěnka , případně skrz elektronický portál projekt . akce nafotit profesionál . fotka dostupný stránka město , čtvrť stránka projekt . projekt dále umožňovat vyhlášení vlastní akce . | * * * | dík váš hlas : ) )","utváření místní aktivní komunita zdravý společnost vždycky důležitý . | * * * | lidé se cítit šťastný , cítit li sounáležitost místo , kde žít lidé , žít . | * * * | dnešní moderní technologie vzdalování se se navzájem reálný bytí přítomný okamžik lidé , okolo , velmi cenný důležitý | * * * | dobře fungující komunita zdroj dění , respektive . veřejně prospěšný aktivita .",0
přechod pěší zastávka tramvaj trolejbus Masná,"denně zastávka pohybovat stovka lidé . hodně dítě , zejména 7 8 hodina ráno . ostrůvek zastávka Masná směr centrum , ostrůvek napojit chodník přechod semafor . ostrůvek existovat bezpečný možnost se zastávka dostat . špička nutný přebíhat bezpečně auto , komunikace oba směr kolem ostrůvek špička značně frekventovaný . . mnoho cestující MHD rodič dítě , bezpečný přecházení přes značně frekventovaný vozovka ocenit . dítě riskatní způsob cesta škola . umístění dopravní značení vozovka plus značka .",uživatel využívající městský hromadný doprava zastávka Masná směr centrum .,0
"běžecký závod dítě , kde vyhrávat každý","dospělý existovat hodně závod běhání , Brno okolí . dítě takový aktivita moc . cíl projekt organizace pravidelný dětský závod běhání , různý věkový kategorie přiměřený vzdálenost . kde duch olympijský myšlenka důležitý vyhrát , zúčastnit se , vyhrávat každý . stupeň vítěz , naopak každý dítě dostat diplom vlastní jméno , kategorie dosažený čas , případně drobný odměna . závod účastník zdarma . závod vhodný organizovat pravidelně , například . jednou měsíc , teplý část . dítě srovnání diplom čas sledovat , se zlepšovat výkonnost . závod možný pořádat buď lužánecký park ( pěkný prostředí , nájem zdarma ) , anebo atletický ovál ( lepší zázemí , velký sportovní náboj ) . možný / vhodný zapojit aktivita Brno zdravý město . výše náklad kalkulovat 6 závod ( organizovaný jednou měsíčně duben září ) .","přitáhnout dítě sport , podpořit zdravý životní styl .",0
okružní vycházkový trasa alej,"městský část Brno Tuřany , obkroužený průmyslový plocha dopravní těleso , chybět procházkový cesta pod koruna strom , blahodárný stín horký den . navrhovat vybraný polní cesta , se navíc otevírat krásný výhled historický střed Brno , doplnit řada listnatý strom . pokud se navíc upravit tři krátký úsek stávající cesta pěšinka , vzniknout pohodlný vycházkový okruh , sloužit obyvatel brněnský Ivanovice , Tuřany Holásek . sem procházka dítě , pejsek , partner kamarád mířit , překonávat úsek občasně rozbahněný rozoraný , zarostlý kopřiva . hlavní úsek nově upravený trasa tvořit alej poskytující stín otevřený horizont výhled , dále pokračovat polní cesta zahrada sestupovat úzký pěšina lávka přes ivanovický potok , odkud vystupovat zpět zastavěný část .","upravený cesta sloužit především místní obyvatel městský část Brno Tuřany , trasa využívat . vzhledem , městský část krajinářský pohled atraktivní okolí , navržený zásah povést maximální zhodnocení potenciál území , bezprostřední kontakt zastavěný část . nově upravený pěšina zlepšit prostupnost krajina alej místo otevřený horizont podpořit výrazný hodnota území vizuální vazba historický střed Brno dominanta pohled vzdálený horizont . domnívat se , návrh přispět zvýšení kvalita život městský část . využitelný obyvatel .",1
zrychlení tramvajový doprava Bystrc,"zavedení zrychlený spoj tramvajový linka číslo . 1 pracovní den . každý spoj dostat označení E 1 projíždět bez zastavení zastávka : kamenolom , podlesí , branka , Stránský , Bráfův výstaviště , vstup G 2 . linka umožnit zrychlení doprava vzdálený sídliště Brno řádově 4 6 minuta oproti stávající stav .","zatraktivnění veřejný doprava možný přilákání cestující . centrum Brno tramvaj cestovat dlouho právě Bystrc . lidé využívající expresní spoj projížděný zastávka se sice spokojit 10 minutový interval namísto současný 5 minutový , většina cestující se cestování naopak zkrátit zpříjemnit .",0
"vybudování veřejný osvětlení lokalita třída generál Píka 5 , 7 , 9 11 .","cíl projekt zřízení veřejný osvětlení západní část ulice třída generál Píka , podchod tramvajový zastávka Bieblův , přes dům č . . 5 , 7 , 9 ( včetně parkoviště ) 11 , nájezd čtyřproudý komunikace . veřejný osvětlení významný veřejný služba , jehož cíl ochrana osoba majetek vliv kriminalita , zvýšení bezpečnost komfort chodec , pohybující se komunikace .",zvýšení bezbečnost komfort obyvatel západní část ulice třída . generál Píka,1
hřiště plážový volejbal lokalita pod plachta,"jednat se rozšíření sportovní rekreační areál park pod plachta Brno Lískovec kurt plážový volejbal . umístění prostorový možnost , vhodný se jevit lokalita lezecký stěna ( balvan ) . Hřiště volně přístupný veřejnost umožnit využití volný čas mládež dospělý sportovní aktivita .","občan Lískovec přilehlý čtvrť . nejen aktivně sportující občan , ostatní rámec prevence vandalismus ostatní negativní jev plynoucí dostatečný nabídka trávení volný čas mládež .",0
"strom každý ulice centrum Brno ! čistý chladit vzduch , klimatizovat zdarma","projekt navrhovat vysadit každý ulice centrum město řada strom stálezelený keř , odpočívadlo stín . zeleň nejen významně čistit vzduch , především snižovat teplota letní měsíc . centrum chybět strom lavička , kde se lidé sednout užít se atmosféra pěší zóna historický dům malebný fasáda pasáž . ulice kobližný , jánský , orlí , josefský , Dvořákův , Kozí , jakubský náměstí . , . svoboda sice přes takzvaný . zahrádka , strom zeleně velmi málo . místo se táhnout šedý dlážděný plocha , akumulovat poté zpět vyzařovat nastřádaný teplo dělat město dusný horký betonový džungle , vítr zvedat prach . místo , kde kořen strom ( javor atp . ) vadit údržba rozvod infrastruktura , navrhovat projekt vysadit mobilní nádoba skupina stálezelený mrazuvzdorný keř například . buxus Prunus , se dát případ havárie jakýkoliv rozvod lehce odstranit , oprava znovu jednoduše umístit . tentýž platit ulice pionýrský kotlářský , dříve fungovat bulvár , tj . široký třída , kde se lidé scházet , trávit volný čas nakupovat místní obchůdek . bohužel rekonstrukce komunikace vydláždění parkovací místo zlikvidovat většina vzrostlý strom keř , obnovit malý část , ulice ztratit zelený klima , stát se pouhý prašný silniční průtah , každý spěchat pryč . projekt navrhovat vysadit strom keř ulice . zeleň zlepšovat nejen kvalita ovzduší , působit velmi pozitivně psychika lidé .","strom keř působit plošný klimatizace , zabraňovat přehřívání ulice . Strom dokázat horký den vzduch vypařit 50 litr voda , odpařený voda zvlhčovat vzduch lépe levně kropicí vůz , vzduch zároveň ochlazovat . navíc strom důležitý prachový filtr , tlumit poryv vítr , ovlivňovat vsakování dešťový voda upravovat vodní režim městský prostředí . fotka nízko vidět stávající holý ulice centrum město , se nikdo , turista , chuť zdržet dlouho , nutný , zeleň chybět celý centrum město , kapucínský náměstí jezuitský , projekt počítat výsadba především ulice kobližný , jánský , orlí , okolí měnínský brána , Dvořáková , jakubský náměstí , Kozí , josefský , zámečnický , . svoboda pionýrský kotlářský .",1
městský galerie,"smysl projekt dát Bronx , vizuálně silný charakter . . . vytvoření velkoformátový obraz štítový plocha domů , jehož autor významný světový umělec . městský galerie součást velký projekt Bronx , někdejší vyloučený lokalita znovu učinit organický část město . lokalita známý Bronx ( rozkládající se MČ Brno střed MČ Brno sever ) procházet nyní velmi dynamický proměna městský galerie dále zvýšit potenciál stát se kreativní čtvrť pestrý uliční život , přitažlivý návštěvník , sterilní turismus preferovat možnost poznávat trochu "" město “ . vznikající kreativní centrum prostora bývalý káznice , úprava vybraný plocha základ projekt Kateřina Šedá „ Brnox 2 “ mozaikový portrét filosof Zdeněk Vašíček Cejl ( autor : Libor Havlíček ) spolu městský galerie – projekt , Ghettofest řada aktivita pořádaný organizace barva brněnský Bronx – stvořit duch městský část , atraktivní mladý lidé umělec , řada podobný místo Evropa . tradice takzvaný . murales stejně novodobý intervence street artista celý svět dávat tušit , projekt . městský galerie Bronx se lišit ambice vylepšit veřejný prostor skutečně hodnotný výtvarný díl vybraný ohled specifikum místo . velmi důležitý , investor , soukromý vlastník především samotný místní obyvatel vidět jasně projevený zájem město : pak velký chuť podílet se pozitivní rozvoj městský část . rámec projekt městský galerie pořídit "" "" Bronx pět obraz , počítat , začátek . postupně městský galerie nabízet 20 30 velký nástěnný obraz . šance dát společně Bronx tvář !","vylepšit veřejný prostor , zdaleka estetický funkce . přesvědčit , městský galerie plnit funkce výsostně sociální , neboť významně přispět destigmatizace oblast .",1
obnovení rybník Palacký náměstí,"srdce Řečkovice Palacký náměstí působit utěšený dojem . obnovení rybník estetický význam přispět lepší mikroklima lokalita . obnovení rybník ( byť vzhledem prostor malý plocha ) pozitivní vliv životní prostředí centrum starý Řečkovice se zasloužit důstojný reprezentativní vzhled , minulost okolo lavička , občan zde relaxovat poklid se zde dát oblíbený zmrzlina , nyní konzumovat buď několik stávající lavička , rovněž chodník , auto ( což komplikovat doprava ) součást opravení hřiště , zbytečně velký , zanedbaný funkční","uživatel rezident , turista kulturista : ) . hlavní prospěch vnímat potěcha oko , zlepšení zázemí relaxace věkový skupina , oživení tradice řečkovický rybník poslední řada ochrana životní prostředí",0
nouzový přístřešek lidé bez domov,"jediný lednový noc letos ulice město Brno umrznout tři lidé . nouzový přístřešek řešení , lidé život zachránit , pořízení Brňan přispět , nikdo kvůli mráz ulice město zemřít . účel nouzový přístřešek ochránit lidé bez domov umrznutí komplikace spojený zimní období . sčítání lidé bez domov území město Brno 2018 zjistit , 509 lidé spát celoročně venku , 397 muž 112 žena . nákup 50 nouzový přístřešek , 40 kus osoba 10 kus osoba společně 60 lidé bez domov pomoci přežít zima . nouzový přístřešek ? přístřešek vyrobit izolační polyetylenový pěna hliníkový folie , hořlavý skládací . tedy dočasný přenosný řešení vhodný jakýkoliv terén . zahřívat se tělesný teplo , se uvnitř držet díky termální izolace , proto 18 stupeň teple venku . nouzový přístřešek distribuovat lidé bez domov , předem terénní sociální pracovník pečlivě vybrat , , doopravdy putovat , potřebovat zodpovědně zacházet , konec zima se město vybrat přístřešek zpět uložit zima . možná se říkat , proč se / zrovna zabývat život lidé bez domov jaký vůbec návrh veřejný prospěch ? umírající lidé ulice Brno prospěšný nikdo : 1 , nikdo , město známý , kde umírat lidé bez domov ulice . což se Brno letošní zima bohužel stát stávat . 2 , finanční důvod město výhodný , se lidé ulice opět zařadit společnost právoplatný člen , platit daň . 3 , pomoc lidé nouze znak solidarita , postavený občanský společnost . pokud , Brno chytrý město , se rovnat vyspělý město , dovolit , docházet úmrtí spoluobyvatel ulice město . umět zajistit , důstojný život dostupný . 4 , jinde ( Karviná , Havířov , Olomouc , Ostrava , Hradec Králové , tábor ) plánovat pořád nic . nechat Brno zaostávat město .","společný nákup nouzový přístřešek dokázat , lhostejný osud spoluobčan . ukázat , Brno , chytrý město pokrokový moderní , tady , slabý . nouzový přístřešek vhodný lidé bez domov , různý důvod využívat noclehárna ( kvůli sociální fobie , zdravotní potíž , vlastnění pes , strach žena samý muž , strach ztráta majetek ) . nouzový přístřešek lidé dávat šance přežít zima venku .",1
Ušetři voda zalít strom !,"vzrostlý krásný strom zbytečně usychat . pomoci zachránit zalévat třeba cesta práce večer . odborník připravit tisíc strom pomoci , bez pořádný zalití přežít . strom klíčový příjemný život město . mnoho krásný strom poslední léta uschnout . přitom . spousta zachránit ! stačit , kdyby občas někdo zalít třeba cesta práce večer . ideálně skoro čistý voda třeba mytí ovoce , doporučovat iniciativa # kbelikvoda ušetřený například krátký sprchování . zalít , nikdo udělat . společně zachránit tisíc strom , jinak období sucho přežít . vždyť zachránit vzrostlý strom stejný radost , zasadit dělat každý den ! se pustit třeba hned ! nachystat se označit strom , se voda hned vypařit strom opravdu pomoci . pak projekt zajistit materiál peníze příprava několik tisíc strom . kořen strom se provzdušnit speciální přístroj vtlačit se ekologický půdní kondicionér ( hydrogel ) , vázat voda postupně uvolňovat kořen . dále se poblíž strom udělat díra donesený voda . se osadit děrovaný trubka zasypat štěrk . příprava strom ruka odborník . strom označit zanést mapa , kde se každý vybrat strom zalití . záchrana některý strom stačit umístit se závlahový vak , schopný kapka dodat 50 litr voda . výrazně zefektivňovat spotřeba voda , čas zalití strom pomoci zachránit stovka strom . projekt zajistit propagace následný údržba systém tři . velmi rád nejen podpora , podnět , propagace především váš skutečný zapojení projekt . potřeba , pustit se zalévání ! děkovat strom vy oplatit : ) !","cíl záchrana velký množství strom , současný hromadně usychat . zapojení lidé se zvýšit povědomí aktuální problém životní prostředí ochota se podílet řešení . strom krásný , chladit , zadržovat přitahovat voda odrážet sluneční záření mnohem lépe , plocha , stínit . podobně bílý plocha snižovat množství teplo pohlcený povrch tedy cesta , bojovat změna klima efekt městský tepelný ostrov .",1
onkologicky léčený dítě Brno,"společně podpořit projekt dítě mladistvý léčený dětský onkologie Brno . život dítě nádorový onemocnění se základ změnit nastat život diagnóza – život plný nejistota , obava strádání , život plný hodnota , přítel zážitek . 150 dítě mladistvý se každý léčit dětský onkologie Brno , existence projít více 2 200 pacient . vytváření projekt zaměřený cílený pomoc léčený dítě podpořit vyrovnávání se následek zhoubný onemocnění . komplexní podpora péče onkologicky nemocný dítě obsahovat různý terapie , výživový poradenství , vzdělávací program , zajištění volnočasový aktivita , asistenční služba , rehabilitační edukační pomůcka . společně zkvalitnit zpříjemnit život dítě .","psychosociální podpora rodina dítě , diagnostikovat zhoubný onemocnění .",1
poslech nedoslýchavý náměstí . Svoboda,"navrhovat instalace indukční smyčka snadný ( elektromagnetický ) poslech ozvučení náměstí svoboda nedoslýchavý uživatel sluchadlo , získat kvalitní poslech veřejnost . nedoslýchavý uživatel sluchadlo se užít kvalitní poslech divadlo , kino často prostor , kde se scházet více lidé . sluchadlo zesilovač zvuk , dokázat zesílit zvuk velký prostor . ( tichý prostor ´ ) , kde se osoba vykládat . pomůcka opomíjet , tudíž nedoslýchavý osoba využít . nedoslýchavý lidé se dopřát kvalitní poslech , se veřejný prostranství zkontrolovat sluchadlo fungovat plný výkon . zvukový technologie zažívat zahraničí boom , Brno žít asi 5000 uživatel sluchadlo / kochleární implantát , ubohý možnost poslech veřejnost prostor se vyhýbat , nic zvukový produkce . indukční smyčka ( drát průřez 2,5 milimetr instalovat pod dlažba . 5 x 5 metr . prostor označit mezinárodní log elektromagnetický poslech zvuk , uživatel sluchadlo znát , se sluchadlo poslech přepnout sluchadlo . drát nutný instalovat obvod plocha 5 x 5 metr konec vyústit elektro box / skříň zvukový aparatura . zde pak zesilovač indukční smyčka , se připojovat zvukový aparatura pódium . instalace nutný odklopit dlažba umístit izolovaný drát pod dlažba . elektro krabice přidělat výstup , kde se kdokoliv účinkující připojit ozvučení . město Brno se materiál pochlubit technologie město , vstřícný vůči sluchově hendikepovaný osoba veřejnost bát vzor instituce ,","projekt určit sluchově hendikepovaný osoba věkový kategorie . uživatel sluchadlo , běžně vybavit zesilovač elektromagnetický indukce . zařízení možný používat trvale . zesilovač se vyrábět záruka 2 5 léta provoz . znamenat , funkční několik léta , nutný přístroj zapnout skončení akce vypnout .",0
brněnský přehrada sprcha,"brněnský přehrada vyskytovat sinice . navrhovat doplnit vybudovaný WC převlékárna otevřený sprcha solární ohřev provedení antivandal . dle podmínka dodržení zásada správa majetek město Brno omezení zdravotní riziko , pokud se koupání lidé osprchovat . společně odborník MMB zvolit technický řešení : 1 . vytypovat vhodný místo přípojka voda odpad 2 . otevřený provedení sprcha 3 . časový omezení 4 . možnost údržba čistota dosah příjezdový komunikace navrhovat lokalita : Rakovec , Kozí horko , sokolský koupaliště lokalita dle návštěvnost","projekt sloužit široký veřejnost , využívat rekreační plocha brněnský přehrada",0
LED pouliční osvětlení FV,"LED pouliční osvětlení se sice konečně začít montovat , , bohužel , často bez FV ! vysoký pořizovací náklad FV se zaplatit úspora elektřina ! stožár využít technologie nulový pohyb se světlo vypínat . LED pouliční osvětlení opatřit malý FV panel kvůli úspora elektřina ! jestli , vy poslat nabídka takový lampa pouliční osvětlení . stožár opatřit kamera ( například . kvůli kriminalita sprejer , vyhledávání volný parkovací místo , kontrola stav zeleň městský mobiliář ) , wifi , různý čidlo ( například . znečištěný ovzduší ) pořizovací náklad FV sice vysoký , zaplatit úspora elektřina ! , mimochodem , příslušný stožár ( kandelábr ) opatřit nátěr odpuzující pes , protože moč způsobovat rozsáhlý koroze velký škoda ! pozdrav Josef Němec","projekt sloužit celý město , povést značný úspora elektrický energie ( srovnání stávající výbojka ) . případ realizace navrhovaný opatření návratnost projekt velmi rychlý . realizace se přistoupit okamžitě zájem obyvatel !",0
podzemní kontejnerový hnízdo,"díky podzemní kontejner tříděný směsný odpad se výrazně zlepšit veřejný prostranství městský část Lískovec . místo můj bydliště prostor tři podzemní kontejnerový hnízdo . každý obsahovat čtyři box tříděný odpad : 1 ) papír , 2 ) plast . 3 ) dělený box bílý barevný sklo , 4 ) box směsný komunální . věřit , městský část následující léta plně vybavený podzemní kontejnerový box . tři kontejnerový hnízdo umístit podél ulice plachta každý parkovací záliv . díky kontejnerový box vzniknout 5 parkovací místo .",díky podzemní kontejner tříděný odpad se výrazně zlepšit veřejný prostranství zkulturnit prostředí městský část Lískovec . navíc vzniknout pět parkovací místo .,1
parkoviště ulice . Hřiště,rozšíření stávající parkoviště ulice . Hřiště starý Lískovec důvod výrazný nedostatek parkovací stání navrhovat rozšíření parkoviště ulice . Hřiště starý Lískovec . parkoviště rozšiřovat stávající parkoviště záliv kolmý stání dvacet parkovací místo . místo vyhradit osoba snížený schopnost pohyb . navržený vyhrazený stání zajistit přístup stávající chodník .,"zvýšení počet parkovací stání důvod výrazný nedostatek parkovací stání obytný zástavba . projekt se zaměřovat potřeba občan , zvláště obyvatel starý Lískovec .",1
pohodlný cyklopříjezd přehrada ( PD ),"vytvoření projektový dokumentace vybudování plnohodnotný cyklostezka vedoucí Brno přehrada mimo frekventovaný silnice ulice současný příjezd cyklista Brno přehrada přes rušný ulice pod Horka , Živný přístavní nahradit plnohodnotný cyklostezka břeh řeka Svratka mimoúrovňový křížení frekventovaný silnice . dojít prodloužení stávající stezka visutý letenský lávka chodník vedle silnice Lidl , kde vybudovat podjezd pod tramvajový silniční most , dále pokračovat asfaltový cesta pravý břeh řeka , podél tramvajový těleso poté vyústit přehrada hned vedle restaurace kaluž . odpadnout přejíždění velmi bezpečný křižovatka odbojářský hlavně obvodový ulice , kde docházet často přehledný situace dopravní nehoda .","cyklista případně in line bruslař jedoucí Brno přehrada se zpříjemnit , zkrátit zkvalitnit cesta , se zároveň stát více bezpečný . vyhnout se provoz , rušný ulice křižovatka jet stezka zasazený více příroda blízkost řeka .",1
Řečkovice Jára Cimrman,"zábavný naučný stezka stopa věhlasný génius , vynálezce tvůrce divadelní hra Jára Cimrman Brno Řečkovice . stezka spojovat existující ulice Jára Cimrman stejnojmenný studánka rekreační oblast zamilovaný hájek . , Jára Cimrman cesta Vídeň neznámo navštívit 1916 , 1912 , někdy jindy , Brno pochyba . více stopa zanechat Brno Řečkovice samostatný obec Rzeckowitz . . památka pobyt zde léta velký sláva otevřít jinak , slepý ulice Jára Cimrman . posléze malebný přírodní vycházkový lokalita méně malebný název zamilovaný hájek , objevit studánka Jára Cimrman . stezka oba místo propojit duch myšlenka Jára Cimrman . přibližně 5 kilometr trasa se táhnout historický hranice Řečkovice studánka tvořit jednotlivý zastavení různý plastika model vynález objev Jára Cimrman , vztahující se daný místo , doplněný dobový fotografie . stezka atraktivní , povést zároveň podél historický , někdy zaniklý objekt ( mlýn , rybník aj . ) legenda se poutník dozvědět různý zajímavý informace . postava Jára Cimrman propojit skutečný osobnost , zde žít . poutník , stezka se nejen pobavit model nesmyslný objev Jára Cimrman , dozvědět , jaký historický osobnost zde žít ( Jára Cimrman se většina samozřejmě znát stýkat . ) dobový fotografie poznat oblast vypadat , kdy se zde Jára Cimrman pohybovat . znavený končetina popřát odpočinek některý atypický , zcela funkční dřevěný lavička .","stezka záhy zavést návštěvník řada široký veřejnost městský zástavba malebný čistý příroda dopřát pohyb zdravý vzduch . poutník se stezka pobavit zábavný forma stezka přimět jedinec , turistika , sport holdovat pohyb příroda . návštěvník se násilný forma dozvědět zajímavost historie zaniklý objekt osobnost , zde žít . objekt stezka esteticky doplnit krajina lavička posloužit odpočinek .",1
knihobudky,"Knihobudka přispívat občan rozšiřování vĕdomostní poznatek různý oblast bez finanční náklad kniha časopis vytvoření zákoutí instalace knihobudka přidružený lavička odpočívadlo poskytovat relaxace umožňovat bezplatný dostupnost četbĕ kniha časopis , sloužit široký veřejnost . Knihobudka mĕt barevný , dostatečnĕ viditelný plastový dvířka , obsah chránit povĕtrnostní podmínka . uvnitř mĕt zřídit regál . dosavadní 2 knihobudka centrum mĕsto ( jakubský náměstí . moravský náměstí . kino Scala naprosto vyhovující . provizorní charakter , vzhledný \ "" design \ "" působit uvedený místo spíš rušivĕ . navrhovat umístění knihobudka Konečný náměstí . , Žerotínův náměstí . , moravský náměstí . Lužánky . přesný umístění daný místo dle doporučení příslušný odbor MMB .",široký veřejnost zejmit senior sociálnĕ slabý skupinĕ obyvatelstvo,0
vybudování propustek přes Hlubočky,"výstavba propustek přes potok Hlubočky , usnadnit cyklista pěší spojení sokolský koupaliště brněnský přehrada . Mniší potok ( Hlubočky ) protékat hluboký údolí Jinačovice tvořit kaňon , déšť znesnadňovat průjezd cyklista medlánecký letiště Kníničky dále sokolský koupaliště . výstavba propustek přes potok Hlubočky umožnit se dostat pohodlně sokolský koupaliště osada cyklista pěší Žabovřesky , Medlánky , Řečkovice , Mokrá hora , Králové . pole Lesná jet kolem přetížený čtyřproudý komunikace vedoucí přehrada kolem řeka Svratka . jednat se nízký bod kaňon , rozhraní přírodní park Baba Mniší hora .","cyklista pěší sever Brno Žabovřesky , Medlánky , Řečkovice , mokrý hora , Lesná , sever Králův pole .",1
kluziště Medlánky,"medlánecký soused Řečkovice umělý kluziště mantinel provoz celý zima odpověď obrovský zájem bruslař věkový kategorie bruslení sportování medlánecký rybník , využitelný obvykle pár den . obyvatel Medlánky sousední Řečkovice vždy zima trpělivě čekat , zamrznout medlánecký rybník . pak cíl bruslař věkový kategorie , rodina dítě , senior sportovec hokejka . obrovský zájem limitovat počasí poslední zima bývat rybník zimní radovánky využitelný pár den . proto přicházet nápad vybudování regulérní kluziště umělý povrch mantinel . věřit , se kluziště najít spousta příznivec dopolední hodiny výuka tělesný výchova hojně využívat školní dítě . Hřiště umístěný cirka listopad březen asfaltový plocha hokejbalový hřiště ulice Matalův . náklad údržba provoz kluziště nejen udržitelnost projekt přislíbit hradit rozpočet MČ Brno Medlánky .","kluziště určit široký veřejnost . dopoledne se počítat využití školní mládež , odpoledne rekreační sportovní využití veřejnost . případ zájem , vyčlenit rovněž speciální čas senior .",1
basket Mlýňák,"záměr projekt zrevitalizovat hřiště ulice , mlýnský nábřeží MČ Obřany . Hřiště mlýnský nábřeží Obřany dlouhý zanedbaný stav . kromě herní prvek zde umístit basketbalový koš stojan volejbalový síť , povrch celý objekt vhodný typ hra celkově působit esteticky . navrhovat zde proto položit pryžový povrch ( tartan ) , umožnit adekvátní podmínka basket , volejbal hra . místo se nacházet 2 pingpongový stůl vyžadující umístění síťka . budoucno se zvážit revitalizace trávník celý areál .",projekt prospěšný zejména dítě sportovec lokalita . vytvořit možnost aktivně strávit volný čas zlepšit propojení vazba komunita .,1
parkour street workout Vinohrady,"předmět projekt vybudování hřiště parkour street workout ulice valtický . vinohrad se nacházet poměrně málo sportoviště . zároveň Vinohrady patřit malý městský část Brno , zde tedy příliš mnoho volný prostor budování sportoviště . proto navrhovat vybudování kombinovaný hřiště parkour street workout část současný asfaltobetonový plocha poblíž ulice valtický . místo se dnes nacházet tři "" hřiště "" basketbal šest basketbalový koš . Hřiště koš příliš udržovaný stav . zároveň plocha basketbal využívat zřídka , obvykle obsadit více hřiště tři . navrhovat tedy účelný využití plocha hřiště následovně : tři hřiště basketbal zachovat , rekonstruovat přizpůsobit míčový sport . zbylý plocha využít vybudování hřiště parkour street workout . parkour umění pohyb překonávání překážka . využívat přirozený pohyb běh , skákání lezení , pomocí se efektivně rychle dostávat místo místo . parkour soutěžní sport . trénink se snažit překonat sám se , strach nedostatek neustále se zlepšovat , nikoliv soupeřit ostatní . parkour sport extrémní , občas prezentovat médium . extrémní případ , hazardovat život dělat něco , umět chápat . street workout vzniknout USA . začít se věnovat především chudý vrstva obyvatelstvo , peníze návštěva fitness centrum , změnit styl cvičení vydat se cvičení činka uzavřený prostor svobodný pohyb cvičení příroda . street workout dynamicky se rozvíjející sport využívající váha vlastní tělo především cvik hrazda , bradlo , žebřík země . vysoce rozvíjet síla vytrvalost , bojovat gravitace zpevňovat hluboký stabilizační systém .","veřejně přístupný hřiště centrum Vinohrady ocenit nejen příznivec parkour , ostatní , se zacvičit zasportovat čerstvý vzduch .",0
